Date,1990,1995,2000,2005,2010,2015,2020
1990-01-05,1000000.0,,,,,,
1990-01-12,984177.0135602623,,,,,,
1990-01-19,982690.3369944813,,,,,,
1990-01-26,977418.9113361526,,,,,,
1990-02-02,983089.1754065782,,,,,,
1990-02-09,984276.3903819398,,,,,,
1990-02-16,987526.8881589838,,,,,,
1990-02-23,984725.6282751962,,,,,,
1990-03-02,992663.3452627197,,,,,,
1990-03-09,1003986.7183552466,,,,,,
1990-03-16,1014470.4443958146,,,,,,
1990-03-23,1008510.8002164891,,,,,,
1990-03-30,1011179.5910423147,,,,,,
1990-04-06,1023590.6099064138,,,,,,
1990-04-13,1032826.1182812742,,,,,,
1990-04-20,1015345.2989555476,,,,,,
1990-04-27,1019185.5816842333,,,,,,
1990-05-04,1038837.3762102383,,,,,,
1990-05-11,1058210.7535353668,,,,,,
1990-05-18,1075705.4721774594,,,,,,
1990-05-25,1076397.863132119,,,,,,
1990-06-01,1102282.2620401161,,,,,,
1990-06-08,1091441.4247910073,,,,,,
1990-06-15,1095026.9761766419,,,,,,
1990-06-22,1088430.3299107929,,,,,,
1990-06-29,1111066.9126862232,,,,,,
1990-07-06,1119789.893409663,,,,,,
1990-07-13,1136130.0027070912,,,,,,
1990-07-20,1105168.9954124298,,,,,,
1990-07-27,1090973.265338941,,,,,,
1990-08-03,1029652.8202156436,,,,,,
1990-08-10,1051748.2687092794,,,,,,
1990-08-17,1026120.1889764832,,,,,,
1990-08-24,1026152.2907415779,,,,,,
1990-08-31,1035087.270197771,,,,,,
1990-09-07,1032470.9482952792,,,,,,
1990-09-14,1020612.01543071,,,,,,
1990-09-21,991081.3239320612,,,,,,
1990-09-28,1042033.2666658753,,,,,,
1990-10-05,1030870.4784020011,,,,,,
1990-10-12,1003721.5175679255,,,,,,
1990-10-19,1054414.86642155,,,,,,
1990-10-26,1009318.6876625558,,,,,,
1990-11-02,1046303.890316073,,,,,,
1990-11-09,1076198.790780049,,,,,,
1990-11-16,1100690.155294909,,,,,,
1990-11-23,1086193.1742228519,,,,,,
1990-11-30,1119900.453091353,,,,,,
1990-12-07,1136890.2193433798,,,,,,
1990-12-14,1133158.4883314047,,,,,,
1990-12-21,1145934.2491816073,,,,,,
1990-12-28,1146597.67836731,,,,,,
1991-01-04,1098858.1037998549,,,,,,
1991-01-11,1097146.474650567,,,,,,
1991-01-18,1177267.5667866035,,,,,,
1991-01-25,1197438.7877345856,,,,,,
1991-02-01,1252627.5736636096,,,,,,
1991-02-08,1314268.8544143979,,,,,,
1991-02-15,1327082.2358183777,,,,,,
1991-02-22,1328159.9902486617,,,,,,
1991-03-01,1330197.3322685533,,,,,,
1991-03-08,1364752.20194996,,,,,,
1991-03-15,1369241.5117591196,,,,,,
1991-03-22,1373431.7885203098,,,,,,
1991-03-29,1391276.9958602912,,,,,,
1991-04-05,1416309.9465322169,,,,,,
1991-04-12,1424137.9822350424,,,,,,
1991-04-19,1426580.660718301,,,,,,
1991-04-26,1399693.4855221172,,,,,,
1991-05-03,1422055.0129601574,,,,,,
1991-05-10,1399412.2042208794,,,,,,
1991-05-17,1374362.4906175006,,,,,,
1991-05-24,1417838.5343593576,,,,,,
1991-05-31,1440884.2164517178,,,,,,
1991-06-07,1409902.353663345,,,,,,
1991-06-14,1427131.5481801992,,,,,,
1991-06-21,1399766.9481181253,,,,,,
1991-06-28,1429746.6695298003,,,,,,
1991-07-05,1438907.979310333,,,,,,
1991-07-12,1473006.493180128,,,,,,
1991-07-19,1473523.1708725465,,,,,,
1991-07-26,1494264.9318852965,,,,,,
1991-08-02,1507710.8758071035,,,,,,
1991-08-09,1528297.0269806476,,,,,,
1991-08-16,1490767.6221095743,,,,,,
1991-08-23,1570166.3876737452,,,,,,
1991-08-30,1589733.6118759234,,,,,,
1991-09-06,1558899.6113895418,,,,,,
1991-09-13,1561705.1361363472,,,,,,
1991-09-20,1574586.0588328294,,,,,,
1991-09-27,1587360.336400728,,,,,,
1991-10-04,1535415.4923601467,,,,,,
1991-10-11,1570159.5598889857,,,,,,
1991-10-18,1599962.579254243,,,,,,
1991-10-25,1592873.001374756,,,,,,
1991-11-01,1598936.7518766792,,,,,,
1991-11-08,1630276.0039815241,,,,,,
1991-11-15,1617127.4120415547,,,,,,
1991-11-22,1594743.7852946674,,,,,,
1991-11-29,1637238.5567624606,,,,,,
1991-12-06,1647825.7342890387,,,,,,
1991-12-13,1691000.8002655604,,,,,,
1991-12-20,1729404.4329211859,,,,,,
1991-12-27,1823097.5352471804,,,,,,
1992-01-03,1824342.8680154777,,,,,,
1992-01-10,1822914.1103682774,,,,,,
1992-01-17,1800170.5914384895,,,,,,
1992-01-24,1796267.3143728832,,,,,,
1992-01-31,1806867.862665531,,,,,,
1992-02-07,1812689.9970143568,,,,,,
1992-02-14,1788640.9703011732,,,,,,
1992-02-21,1788928.2791053604,,,,,,
1992-02-28,1801185.626684206,,,,,,
1992-03-06,1769787.2303007098,,,,,,
1992-03-13,1791801.7071734557,,,,,,
1992-03-20,1812378.4134150106,,,,,,
1992-03-27,1825085.7737036557,,,,,,
1992-04-03,1835678.6642794206,,,,,,
1992-04-10,1837232.7695322386,,,,,,
1992-04-17,1840867.1609607502,,,,,,
1992-04-24,1797352.4164698636,,,,,,
1992-05-01,1828945.4230825517,,,,,,
1992-05-08,1871119.0081281355,,,,,,
1992-05-15,1844790.522277626,,,,,,
1992-05-22,1865946.0878710696,,,,,,
1992-05-29,1895017.7999509014,,,,,,
1992-06-05,1850619.982394916,,,,,,
1992-06-12,1846957.1215424403,,,,,,
1992-06-19,1821247.2666070608,,,,,,
1992-06-26,1846977.2868397073,,,,,,
1992-07-03,1874802.078125813,,,,,,
1992-07-10,1876103.686752197,,,,,,
1992-07-17,1889295.5909404727,,,,,,
1992-07-24,1893801.2327862913,,,,,,
1992-07-31,1959915.6004789968,,,,,,
1992-08-07,1946140.2981503292,,,,,,
1992-08-14,1968374.7438398027,,,,,,
1992-08-21,1941326.7630790398,,,,,,
1992-08-28,1987025.7174711362,,,,,,
1992-09-04,2024572.1058088958,,,,,,
1992-09-11,2084649.8634018004,,,,,,
1992-09-18,2088042.7107613718,,,,,,
1992-09-25,2060197.0485065388,,,,,,
1992-10-02,2026148.58116351,,,,,,
1992-10-09,2032132.3720709532,,,,,,
1992-10-16,2092885.8741332907,,,,,,
1992-10-23,2119909.4685924896,,,,,,
1992-10-30,2160758.0213747527,,,,,,
1992-11-06,2182251.8609179365,,,,,,
1992-11-13,2200223.8884882526,,,,,,
1992-11-20,2226229.147355531,,,,,,
1992-11-27,2260860.3787028706,,,,,,
1992-12-04,2306463.1625806303,,,,,,
1992-12-11,2301624.0638481313,,,,,,
1992-12-18,2351892.7391043105,,,,,,
1992-12-25,2347800.442766163,,,,,,
1993-01-01,2324275.9253879366,,,,,,
1993-01-08,2282311.055950999,,,,,,
1993-01-15,2320601.34737706,,,,,,
1993-01-22,2314084.646760846,,,,,,
1993-01-29,2320373.1135919103,,,,,,
1993-02-05,2330913.401439368,,,,,,
1993-02-12,2330727.3217319422,,,,,,
1993-02-19,2193740.7185267997,,,,,,
1993-02-26,2266545.9790050625,,,,,,
1993-03-05,2339702.42817141,,,,,,
1993-03-12,2348722.18904966,,,,,,
1993-03-19,2342277.3077009614,,,,,,
1993-03-26,2340395.0120093958,,,,,,
1993-04-02,2296706.7664336753,,,,,,
1993-04-09,2291151.342283124,,,,,,
1993-04-16,2247503.5638970286,,,,,,
1993-04-23,2230691.5370994876,,,,,,
1993-04-30,2269241.203618178,,,,,,
1993-05-07,2281198.937981866,,,,,,
1993-05-14,2282564.638739509,,,,,,
1993-05-21,2345629.2377659315,,,,,,
1993-05-28,2351527.3036878053,,,,,,
