Date,1990_all,1995_all,2000_all,2005_all,2010_all,2015_all,2020_all
1990-01-05,1000000.0,,,,,,
1990-01-12,990893.4317649985,,,,,,
1990-01-19,986369.6517448834,,,,,,
1990-01-26,980585.657543824,,,,,,
1990-02-02,984565.6150040667,,,,,,
1990-02-09,983799.9697563457,,,,,,
1990-02-16,991727.0504442215,,,,,,
1990-02-23,988381.027284305,,,,,,
1990-03-02,992437.0816227567,,,,,,
1990-03-09,999529.1587672818,,,,,,
1990-03-16,1006163.4490643392,,,,,,
1990-03-23,1009163.9927056256,,,,,,
1990-03-30,1012132.6466118164,,,,,,
1990-04-06,1022294.441827214,,,,,,
1990-04-13,1026893.3324980576,,,,,,
1990-04-20,1015482.247946406,,,,,,
1990-04-27,1023636.6336069804,,,,,,
1990-05-04,1037233.9396976857,,,,,,
1990-05-11,1046081.6008888334,,,,,,
1990-05-18,1050412.4337504362,,,,,,
1990-05-25,1050902.749433463,,,,,,
1990-06-01,1068417.9288964304,,,,,,
1990-06-08,1056655.053745161,,,,,,
1990-06-15,1059215.8344931295,,,,,,
1990-06-22,1051488.8952304537,,,,,,
1990-06-29,1072656.0522443333,,,,,,
1990-07-06,1092445.8901241552,,,,,,
1990-07-13,1104765.5671919407,,,,,,
1990-07-20,1072850.4880717248,,,,,,
1990-07-27,1056913.7514199445,,,,,,
1990-08-03,993518.2364100949,,,,,,
1990-08-10,1023977.1082244975,,,,,,
1990-08-17,994885.0173876203,,,,,,
1990-08-24,995344.9199838107,,,,,,
1990-08-31,1000315.2221884533,,,,,,
1990-09-07,993348.835285822,,,,,,
1990-09-14,987650.8143631619,,,,,,
1990-09-21,951669.8354978956,,,,,,
1990-09-28,1004847.8435350137,,,,,,
1990-10-05,990493.3950123772,,,,,,
1990-10-12,962973.5367318396,,,,,,
1990-10-19,1015065.2598898775,,,,,,
1990-10-26,969386.6230352868,,,,,,
1990-11-02,1004818.7648157617,,,,,,
1990-11-09,1033042.6834689998,,,,,,
1990-11-16,1057789.0166503952,,,,,,
1990-11-23,1052354.3842010435,,,,,,
1990-11-30,1085362.9122258164,,,,,,
1990-12-07,1106684.402795257,,,,,,
1990-12-14,1098923.2410644947,,,,,,
1990-12-21,1113130.5903454926,,,,,,
1990-12-28,1127333.7333940743,,,,,,
1991-01-04,1070995.4596144403,,,,,,
1991-01-11,1068200.5608098914,,,,,,
1991-01-18,1159054.6433234452,,,,,,
1991-01-25,1173930.8289652339,,,,,,
1991-02-01,1231090.85825921,,,,,,
1991-02-08,1274152.4174382382,,,,,,
1991-02-15,1278184.1245288765,,,,,,
1991-02-22,1282894.3996150165,,,,,,
1991-03-01,1292280.4827460693,,,,,,
1991-03-08,1325976.1023523982,,,,,,
1991-03-15,1321952.589091622,,,,,,
1991-03-22,1318054.8088667577,,,,,,
1991-03-29,1337859.5883562774,,,,,,
1991-04-05,1359445.3914769734,,,,,,
1991-04-12,1377109.4637838504,,,,,,
1991-04-19,1380733.134494297,,,,,,
1991-04-26,1352088.5362626323,,,,,,
1991-05-03,1377770.7723020231,,,,,,
1991-05-10,1359167.4560815825,,,,,,
1991-05-17,1347457.2494020136,,,,,,
1991-05-24,1383052.0710491664,,,,,,
1991-05-31,1382907.6821025559,,,,,,
1991-06-07,1369509.675194094,,,,,,
1991-06-14,1375620.7289889248,,,,,,
1991-06-21,1368023.6798239748,,,,,,
1991-06-28,1402712.9719288682,,,,,,
1991-07-05,1403409.3524002263,,,,,,
1991-07-12,1427951.9640474548,,,,,,
1991-07-19,1430327.798506084,,,,,,
1991-07-26,1462197.3439976128,,,,,,
1991-08-02,1473851.1121673186,,,,,,
1991-08-09,1486368.6456191808,,,,,,
