Date,1990_none,1990_cc_always,1990_wheel,1995_none,1995_cc_always,1995_wheel,2000_none,2000_cc_always,2000_wheel,2005_none,2005_cc_always,2005_wheel,2010_none,2010_cc_always,2010_wheel,2015_none,2015_cc_always,2015_wheel,2020_none,2020_cc_always,2020_wheel
1990-01-05,1000000.0,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,
1990-01-08,1001934.7568629635,1001934.7568629635,1000830.329377126,,,,,,,,,,,,,,,,,,
1990-01-09,998090.3561766157,998224.8615672223,998385.9955238722,,,,,,,,,,,,,,,,,,
1990-01-10,995880.6972260438,996823.1086407279,997592.6583832883,,,,,,,,,,,,,,,,,,
1990-01-11,997311.3226413849,999697.9099530778,999951.8842885715,,,,,,,,,,,,,,,,,,
1990-01-12,989089.360383466,991669.4870672736,994182.1140399714,,,,,,,,,,,,,,,,,,
1990-01-15,985987.4508383493,989312.0943203608,992461.8234226195,,,,,,,,,,,,,,,,,,
1990-01-16,988156.3005966041,992130.9937553848,995040.15032719,,,,,,,,,,,,,,,,,,
1990-01-17,986186.7029655272,990727.4693194947,994274.1729500592,,,,,,,,,,,,,,,,,,
1990-01-18,987747.7003147266,991852.4272165875,995024.7786905391,,,,,,,,,,,,,,,,,,
1990-01-19,989285.6194516949,993891.5155430224,996827.4476986116,,,,,,,,,,,,,,,,,,
1990-01-22,982713.2786480498,987671.5469728605,992250.3098031661,,,,,,,,,,,,,,,,,,
1990-01-23,982886.6053257281,988826.9215455033,993646.0966587544,,,,,,,,,,,,,,,,,,
1990-01-24,981816.014815888,987862.9563768716,993002.2423818405,,,,,,,,,,,,,,,,,,
1990-01-25,977075.71187062,983834.7696878252,990200.3123778101,,,,,,,,,,,,,,,,,,
1990-01-26,976707.9697148629,983613.7915643601,990106.6418769774,,,,,,,,,,,,,,,,,,
1990-01-29,976180.9218081639,984015.770354708,991197.7953775099,,,,,,,,,,,,,,,,,,
1990-01-30,971508.7706157397,979747.4276904073,987848.4800930299,,,,,,,,,,,,,,,,,,
1990-01-31,975480.3225727362,983984.0834535239,991725.5121654023,,,,,,,,,,,,,,,,,,
1990-02-01,975549.5605658586,984252.624812465,992072.2942259478,,,,,,,,,,,,,,,,,,
1990-02-02,979180.670417621,987849.6009301814,995023.6433736185,,,,,,,,,,,,,,,,,,
1990-02-05,981269.521627202,990147.7724161153,997308.9297128152,,,,,,,,,,,,,,,,,,
1990-02-06,979548.161803683,988316.3504944079,996090.3592204567,,,,,,,,,,,,,,,,,,
1990-02-07,983594.8917289856,992096.6155809648,998379.4044357202,,,,,,,,,,,,,,,,,,
1990-02-08,982930.4868860662,991760.5537963724,998997.9299661238,,,,,,,,,,,,,,,,,,
1990-02-09,984293.2939187421,993070.4995157997,999977.9432735931,,,,,,,,,,,,,,,,,,
1990-02-12,981154.7971982539,990426.5929273649,998523.9143101093,,,,,,,,,,,,,,,,,,
1990-02-13,981342.3467477383,991228.5309616836,999326.1117397535,,,,,,,,,,,,,,,,,,
1990-02-14,981363.3417854353,992383.1797345055,1000411.5415409276,,,,,,,,,,,,,,,,,,
1990-02-15,984573.1224490553,995260.3171698436,1002760.6870324819,,,,,,,,,,,,,,,,,,
1990-02-16,983895.7582340175,994929.0189284397,1002459.256556521,,,,,,,,,,,,,,,,,,
