Date,1990_dow_none,1990_dow_all,1990_claude_none,1990_claude_all,2000_dow_none,2000_dow_all,2000_claude_none,2000_claude_all,2015_dow_none,2015_dow_all,2015_claude_none,2015_claude_all
1990-01-05,100000.0,100000.0,100000.0,100000.0,,,,,,,,
1990-01-08,100214.06193980711,100214.0619398071,100290.8918736185,100290.8918736185,,,,,,,,
1990-01-09,99786.83176792182,99820.57695566479,99982.1151630155,99971.31238766933,,,,,,,,
1990-01-10,99532.33949851332,99659.28740240746,99728.58843972538,99811.14669977227,,,,,,,,
1990-01-11,99672.90245047404,99944.89259628922,99867.5250429158,100088.92950714301,,,,,,,,
1990-01-12,98884.0853973321,99159.92601068664,98983.72965604429,99253.89945442595,,,,,,,,
1990-01-15,98536.10384321363,98893.93082434141,98674.31509767818,99013.65041042012,,,,,,,,
1990-01-16,98730.19697373644,99157.27172318829,98848.77069548554,99261.6816140478,,,,,,,,
1990-01-17,98522.20884604738,99003.37114608925,98601.11865313517,99079.87135999734,,,,,,,,
1990-01-18,98685.95487588579,99125.31684772154,98708.60032181829,99168.3585577933,,,,,,,,
1990-01-19,98853.2749059859,99337.10983690034,98804.11151359328,99335.08501554342,,,,,,,,
1990-01-22,98183.24782535782,98696.6721433397,98074.50362325911,98639.7369775087,,,,,,,,
1990-01-23,98201.76301890324,98813.68173747139,98085.2315025386,98748.38415561586,,,,,,,,
1990-01-24,98095.64871912435,98722.28740127756,97999.67228615572,98672.98191135876,,,,,,,,
1990-01-25,97603.84338238952,98299.17647200431,97486.35616502828,98216.38144743406,,,,,,,,
1990-01-26,97580.92671670069,98290.77867061066,97503.38701033777,98233.55593794433,,,,,,,,
1990-01-29,97570.41592647268,98360.44802495358,97516.3815376564,98314.26907424878,,,,,,,,
1990-01-30,97122.04005562919,97947.78778191566,97100.71704075033,97928.72483723423,,,,,,,,
1990-01-31,97523.18121228273,98373.53166363742,97578.52368018017,98417.09334241363,,,,,,,,
1990-02-01,97542.71189193017,98409.92572478544,97517.43171019173,98383.58203214646,,,,,,,,
1990-02-02,97912.89070620693,98775.73385532694,97838.24874219637,98706.64090624628,,,,,,,,
1990-02-05,98075.87446127008,98960.46514436534,98053.19998370807,98935.88027845066,,,,,,,,
1990-02-06,97892.44691510095,98763.77824332345,97797.47925635794,98672.67084524038,,,,,,,,
1990-02-07,98380.5497539497,99223.43725245321,98193.17430370687,99062.76024166385,,,,,,,,
1990-02-08,98294.89781148455,99170.72929922737,98216.02073371007,99089.82642106725,,,,,,,,
1990-02-09,98415.27065721872,99285.79777748918,98288.62386471393,99165.2085781781,,,,,,,,
1990-02-12,98135.91914354182,99055.72459756772,98006.35873940107,98905.95818556793,,,,,,,,
1990-02-13,98072.50513083588,99071.49841077586,98013.89664086679,98957.38558947343,,,,,,,,
1990-02-14,98126.69026238796,99222.94899707238,98008.04994275374,99073.75757737312,,,,,,,,
1990-02-15,98444.0769916001,99554.0363225895,98335.21463403454,99403.81875525205,,,,,,,,
