Date,1990_none,1990_ideal_d30,1995_none,1995_ideal_d30,2000_none,2000_ideal_d30,2005_none,2005_ideal_d30,2010_none,2010_ideal_d30,2015_none,2015_ideal_d30,2020_none,2020_ideal_d30
1990-01-05,1000000.0,1000000.0,,,,,,,,,,,,
1990-01-12,989089.360383466,989888.8083665125,,,,,,,,,,,,
1990-01-19,989285.6194516949,991104.2446892548,,,,,,,,,,,,
1990-01-26,976707.9697148629,979279.7315535925,,,,,,,,,,,,
1990-02-02,979180.670417621,982351.1541498092,,,,,,,,,,,,
1990-02-09,984293.2939187421,987506.568317433,,,,,,,,,,,,
1990-02-16,983895.7582340175,987842.745107965,,,,,,,,,,,,
1990-02-23,975358.2430125194,979804.252086247,,,,,,,,,,,,
1990-03-02,989032.641153274,993316.4138158616,,,,,,,,,,,,
1990-03-09,998070.6118441257,1001515.7926259167,,,,,,,,,,,,
1990-03-16,1006598.1715127795,1010116.9239138728,,,,,,,,,,,,
1990-03-23,1002265.5570476701,1004977.79446064,,,,,,,,,,,,
1990-03-30,1007827.1392547973,1009837.469529517,,,,,,,,,,,,
1990-04-06,1019684.8190071223,1020221.6718259784,,,,,,,,,,,,
1990-04-13,1032640.723010981,1031991.2970960774,,,,,,,,,,,,
1990-04-20,1016797.5422490207,1021828.839202259,,,,,,,,,,,,
1990-04-27,1007232.2473506359,1015646.6075314328,,,,,,,,,,,,
1990-05-04,1029651.6184790727,1038230.4419414401,,,,,,,,,,,,
1990-05-11,1049997.6289203325,1055201.4025945493,,,,,,,,,,,,
1990-05-18,1064551.0156459205,1070411.7466685697,,,,,,,,,,,,
1990-05-25,1075610.6558943437,1079027.3062834349,,,,,,,,,,,,
1990-06-01,1097089.3466315118,1097169.84845029,,,,,,,,,,,,
1990-06-08,1085614.1147663174,1089219.3399997647,,,,,,,,,,,,
1990-06-15,1102767.8293629051,1106758.1062230675,,,,,,,,,,,,
1990-06-22,1094889.8570242333,1098283.5034431324,,,,,,,,,,,,
1990-06-29,1107277.0123364518,1109241.023789277,,,,,,,,,,,,
1990-07-06,1120354.8286127537,1120779.9966804695,,,,,,,,,,,,
1990-07-13,1145680.6284700797,1138932.8870320178,,,,,,,,,,,,
1990-07-20,1128247.5021521337,1126952.850516247,,,,,,,,,,,,
1990-07-27,1094243.1867568975,1095969.1275095681,,,,,,,,,,,,
1990-08-03,1062453.3018570528,1066938.587632901,,,,,,,,,,,,
1990-08-10,1045670.2298378015,1049845.420092194,,,,,,,,,,,,
1990-08-17,1022289.0035782336,1029716.8223703448,,,,,,,,,,,,
1990-08-24,993545.4910672621,1004191.1576002509,,,,,,,,,,,,
1990-08-31,1038689.695093991,1048651.3739556533,,,,,,,,,,,,
1990-09-07,1035538.4231495982,1047980.2649739959,,,,,,,,,,,,
1990-09-14,1021119.1546807581,1033760.2698366274,,,,,,,,,,,,
1990-09-21,992119.1593002935,1011989.1070591854,,,,,,,,,,,,
1990-09-28,989209.564908062,1010747.2930034153,,,,,,,,,,,,
1990-10-05,1011050.5684351766,1032705.6187826724,,,,,,,,,,,,
1990-10-12,984813.3873630975,1006957.7814788348,,,,,,,,,,,,
1990-10-19,1029454.4564726226,1048408.2162914721,,,,,,,,,,,,
