Date,1990_base,1990_cc_ideal_h5,1995_base,1995_cc_ideal_h5,2000_base,2000_cc_ideal_h5,2005_base,2005_cc_ideal_h5,2010_base,2010_cc_ideal_h5,2015_base,2015_cc_ideal_h5,2020_base,2020_cc_ideal_h5
1990-01-05,999999.9999999992,1000000.0,,,,,,,,,,,,
1990-01-12,984177.0135602624,983835.8017004902,,,,,,,,,,,,
1990-01-19,980960.0076860934,982373.7754160406,,,,,,,,,,,,
1990-01-26,974456.6063696598,977107.5392794958,,,,,,,,,,,,
1990-02-02,979484.167969713,982776.5059838913,,,,,,,,,,,,
1990-02-09,979351.6199675464,983974.1000220418,,,,,,,,,,,,
1990-02-16,982075.396452818,986940.1233779433,,,,,,,,,,,,
1990-02-23,979207.06196728,984143.9218183401,,,,,,,,,,,,
1990-03-02,986780.0276304416,992106.9303893151,,,,,,,,,,,,
1990-03-09,999618.151312826,1003331.645835842,,,,,,,,,,,,
1990-03-16,1011580.2302949592,1013364.5548351125,,,,,,,,,,,,
1990-03-23,1005072.2701757356,1007239.6466377095,,,,,,,,,,,,
1990-03-30,1007591.6429667388,1009935.8302916291,,,,,,,,,,,,
1990-04-06,1024376.5546927728,1022310.9713906568,,,,,,,,,,,,
1990-04-13,1033967.944319356,1030744.9286084828,,,,,,,,,,,,
1990-04-20,1011394.111773857,1013175.8701199427,,,,,,,,,,,,
1990-04-27,1013939.609872434,1016878.3879061993,,,,,,,,,,,,
1990-05-04,1033200.465328028,1036551.4467625045,,,,,,,,,,,,
1990-05-11,1056262.983742421,1055251.9554062337,,,,,,,,,,,,
1990-05-18,1074355.9715685388,1072159.95119004,,,,,,,,,,,,
1990-05-25,1075465.3002734832,1072905.5035217677,,,,,,,,,,,,
1990-06-01,1106714.0287787537,1098037.7942393853,,,,,,,,,,,,
1990-06-08,1090933.226857035,1087282.0147840353,,,,,,,,,,,,
1990-06-15,1094345.3880781988,1090510.292793484,,,,,,,,,,,,
1990-06-22,1087438.8926757078,1083833.0570414327,,,,,,,,,,,,
