account,ticker,n_trades,invested,final_value,gain_pct,px_2000,px_2013,stock_return_pct
defensive,KO,1,376598,801713,112.9,14.43,27.53,90.8
defensive,HRL,3,62499,429586,587.3,2.87,16.26,466.4
defensive,HSY,3,62499,374537,499.3,12.06,71.24,490.5
defensive,BDX,3,62499,310535,396.9,14.17,68.59,384.1
defensive,GD,3,62499,307248,391.6,15.28,71.97,371.1
defensive,GIS,3,62499,268179,329.1,7.24,31.12,329.9
defensive,PG,3,62499,247708,296.3,28.57,56.59,98.1
defensive,ABT,3,62499,239405,283.1,7.7,29.78,286.7
defensive,MCD,3,62499,229570,267.3,22.19,69.76,214.3
defensive,CLX,3,62499,211141,237.8,26.43,63.22,139.2
defensive,CL,3,62499,211112,237.8,18.29,48.08,163.0
defensive,PEP,3,62499,193465,209.5,18.15,56.28,210.1
defensive,KMB,3,62499,177151,183.4,26.2,64.86,147.5
defensive,BMY,5,83332,81007,-2.8,23.1,34.31,48.5
defensive,MRK,3,62499,80631,29.0,27.47,32.09,16.8
defensive,JNJ,1,20833,72298,247.0,23.45,64.5,175.1
defensive,PFE,1,29747,49760,67.3,13.09,16.98,29.8
defensive,UNH,4,62499,0,,5.9,60.68,928.5
growth,ROST,3,62499,1378621,2105.8,1.27,32.86,2480.5
growth,ORLY,3,62499,1230841,1869.4,0.55,8.58,1472.6
growth,AZO,3,62499,1209841,1835.8,30.0,474.11,1480.4
growth,TJX,3,62499,1028946,1546.3,1.78,26.8,1402.7
growth,CHD,3,62499,701431,1022.3,3.3,27.58,736.5
growth,NKE,3,62499,609333,874.9,4.57,33.14,624.6
growth,SBUX,3,62499,584791,835.7,2.5,30.12,1104.0
growth,DHR,3,62499,450377,620.6,4.49,30.93,588.4
growth,DLTR,3,62499,308988,394.4,11.58,56.4,386.9
growth,SYK,3,62499,293253,369.2,14.93,64.41,331.5
growth,LOW,3,62499,292268,367.6,9.09,39.48,334.2
growth,CVS,3,62499,279375,347.0,11.56,49.92,331.9
growth,GPC,1,84758,256760,202.9,10.55,57.07,441.0
growth,ITW,3,62499,224107,258.6,19.29,62.22,222.6
growth,TGT,3,62499,145231,132.4,19.95,43.37,117.4
growth,SYY,2,41666,122720,194.5,10.21,25.54,150.2
growth,CAH,4,62499,0,,17.55,47.57,171.1
