Date,2000_defensive,spy_2000_defensive,2000_growth,spy_2000_growth,2005,spy_2005,2010,spy_2010,2015,spy_2015,2020,spy_2020
2000-01-03,999999.9999999997,1000000.0,999999.9999999993,1000000.0,,,,,,,,
2000-01-07,1003934.2402508009,1052632.2162819589,1006797.7446592132,1052632.2162819589,,,,,,,,
2000-01-10,1003934.2402508009,1052632.2162819589,1006797.7446592132,1052632.2162819589,,,,,,,,
2000-01-14,998331.8583338889,1050816.9617622737,988816.2103260709,1050816.9617622737,,,,,,,,
2000-01-17,998331.8583338889,1050816.9617622737,988816.2103260709,1050816.9617622737,,,,,,,,
2000-01-21,989078.532678701,1018149.2747865062,976082.4490422395,1018149.2747865062,,,,,,,,
2000-01-24,989078.532678701,1018149.2747865062,976082.4490422395,1018149.2747865062,,,,,,,,
2000-01-28,987099.6744790225,1039474.1180167348,982063.0541216242,1039474.1180167348,,,,,,,,
2000-01-31,987099.6744790222,1039474.1180167348,982063.054121624,1039474.1180167348,,,,,,,,
2000-02-04,983992.099775893,1027677.3059597042,949886.0712451717,1027677.3059597042,,,,,,,,
2000-02-07,983992.099775893,1027677.3059597042,949886.0712451717,1027677.3059597042,,,,,,,,
2000-02-11,987260.1127555643,1003856.9628583035,915754.9023721936,1003856.9628583035,,,,,,,,
2000-02-14,987260.1127555643,1003856.9628583035,915754.9023721936,1003856.9628583035,,,,,,,,
2000-02-18,983218.1732762107,971416.1716488128,902022.6713521879,971416.1716488128,,,,,,,,
2000-02-21,983218.1732762107,971416.1716488128,902022.6713521879,971416.1716488128,,,,,,,,
2000-02-25,973429.0241651828,1005671.2450938321,911511.6039654941,1005671.2450938321,,,,,,,,
2000-02-28,973429.0241651831,1005671.2450938321,911511.6039654939,1005671.2450938321,,,,,,,,
2000-03-03,954059.5320846878,1022686.1294384219,904551.0914525252,1022686.1294384219,,,,,,,,
2000-03-06,954059.5320846878,1022686.1294384219,904551.0914525252,1022686.1294384219,,,,,,,,
2000-03-10,1014316.429230307,1062386.7896635588,1053892.494197924,1062386.7896635588,,,,,,,,
2000-03-13,1014316.429230307,1062386.7896635588,1053892.494197924,1062386.7896635588,,,,,,,,
2000-03-17,1001665.4884579577,1111028.9285472794,1036943.2175166388,1111028.9285472794,,,,,,,,
2000-03-20,1001665.4884579577,1111028.9285472794,1036943.2175166388,1111028.9285472794,,,,,,,,
2000-03-24,1020495.9166371332,1082144.752781285,1101211.2311941604,1082144.752781285,,,,,,,,
2000-03-27,1020495.9166371332,1082144.752781285,1101211.2311941604,1082144.752781285,,,,,,,,
2000-03-31,1043333.5845900201,1095222.4166299482,1124646.270639999,1095222.4166299482,,,,,,,,
2000-04-03,1043333.5845900201,1095222.4166299482,1124646.270639999,1095222.4166299482,,,,,,,,
2000-04-07,1073710.0329265294,1049849.185468948,1127487.8037337747,1049849.185468948,,,,,,,,
2000-04-10,1073710.0329265294,1049849.185468948,1127487.8037337747,1049849.185468948,,,,,,,,
2000-04-14,1064744.956925742,1046664.6012994136,1102288.9151324327,1046664.6012994136,,,,,,,,
2000-04-17,1064744.956925742,1046664.6012994136,1102288.9151324327,1046664.6012994136,,,,,,,,
2000-04-21,1074976.3641588418,1062584.9588524925,1112353.5274761498,1062584.9588524925,,,,,,,,
2000-04-24,1074976.3641588418,1062584.9588524925,1112353.5274761498,1062584.9588524925,,,,,,,,
2000-04-28,1052988.622490341,1032108.8003648717,1097712.334440754,1032108.8003648717,,,,,,,,
2000-05-01,1052988.622490341,1032108.8003648717,1097712.334440754,1032108.8003648717,,,,,,,,
