Date,defensive,growth,spy
2000-01-03,1000000.0,1000000.0,1000000.0
2000-01-04,1000000.0,1000000.0,960894.2691262835
2000-01-05,1000000.0,1000000.0,962613.0707956082
2000-01-06,1000000.0,1000000.0,947142.6837282701
2000-01-07,1000000.0,1000000.0,1002148.7741681632
2000-01-10,998954.5933705685,1001997.4168775289,1005587.0472459072
2000-01-11,997997.7706562295,999002.6548162913,993554.0960824449
2000-01-12,996242.8145456731,994778.2797388192,983670.3376740798
2000-01-13,998138.1630435728,999147.4169029081,996991.8668558679
2000-01-14,996655.1818413304,997781.1857139086,1010528.4660044622
2000-01-18,994257.0408777974,991525.2156944349,1002578.7466670015
2000-01-19,994165.0793460174,989660.5271359355,1010743.7871234288
2000-01-20,992550.2923961413,981159.2943734422,995272.8140343827
2000-01-21,990346.444530645,975105.2612423393,993123.9561488328
2000-01-24,983930.7544498818,967098.0580633119,964976.5800610299
2000-01-25,981877.6174827382,967802.80263392,975934.76741217
2000-01-26,981175.3711156701,972631.7660809269,968199.6994545811
2000-01-27,982253.3468687899,968967.8352643873,964331.4538779986
2000-01-28,979004.474357777,961745.5469321837,934250.5410236125
2000-01-31,983639.321243158,964751.6425613537,959604.2679123814
2000-02-01,982430.8301465523,968253.8328973583,969058.8909957765
2000-02-02,980615.0727683051,969313.2215678142,969918.1662543586
2000-02-03,980385.9771578367,975324.9501221937,984529.6129326619
2000-02-04,980807.6843765641,975178.5813464874,980447.1345631417
2000-02-07,979105.9723234553,970624.6671629397,978943.2354258493
2000-02-08,981427.2516961275,973032.3952727924,992264.1785859297
2000-02-09,981123.1346072033,963724.0219348429,971422.7351307456
2000-02-10,978904.2040587197,959612.1372918778,973356.6067668764
2000-02-11,975705.0504955355,954233.2777327711,953588.3364936647
2000-02-14,976598.727423639,955304.6295876801,959174.7140004771
2000-02-15,978713.7961849867,954829.7896959984,970025.9105312286
2000-02-16,978951.6092680101,948242.9509912678,955736.9432270542
2000-02-17,980618.9665386215,944557.2822240354,950795.1895989518
2000-02-18,978279.959256791,938195.4125415995,930382.5465991904
2000-02-22,980970.70896639,937696.565171879,928019.4559207029
2000-02-23,978840.2992375528,941353.4523662704,938977.1409675218
2000-02-24,974011.222495376,937419.8047956349,920068.7319746001
2000-02-25,972525.5675835711,935361.4525672799,916738.6217606603
2000-02-28,972607.0563275951,942767.6745109619,935969.1752581635
