Date,1990_gro,1990_bench,1995_gro,1995_bench,2000_gro,2000_bench,2005_gro,2005_bench,2010_gro,2010_bench,2015_gro,2015_bench,2020_gro,2020_bench
1990-01-05,999999.9999999993,1000000.0,,,,,,,,,,,,
1990-01-12,983170.691981762,952542.4456898138,,,,,,,,,,,,
1990-01-19,979884.1350750434,933830.7948311182,,,,,,,,,,,,
1990-01-26,973339.0006334041,919189.361917041,,,,,,,,,,,,
1990-02-02,978515.721432821,937985.8053887906,,,,,,,,,,,,
1990-02-09,977897.6430533491,932982.7824415632,,,,,,,,,,,,
1990-02-16,980685.8824641425,940444.8774263691,,,,,,,,,,,,
1990-02-23,976941.5600310036,928997.4433690149,,,,,,,,,,,,
1990-03-02,985124.9994337256,943327.912529217,,,,,,,,,,,,
1990-03-09,999149.5862883452,957262.7978405228,,,,,,,,,,,,
1990-03-16,1012043.8534291888,970999.7187093478,,,,,,,,,,,,
1990-03-23,1006680.6639376205,954323.1768229614,,,,,,,,,,,,
1990-03-30,1009956.4221040955,957347.5904535766,,,,,,,,,,,,
1990-04-06,1028015.2962460786,964894.3917924201,,,,,,,,,,,,
1990-04-13,1036863.106667931,974419.8024478756,,,,,,,,,,,,
1990-04-20,1013473.9805175613,935724.5252756601,,,,,,,,,,,,
1990-04-27,1016446.5233538037,935017.8914138724,,,,,,,,,,,,
1990-05-04,1036724.6907293028,962520.1123678953,,,,,,,,,,,,
1990-05-11,1060020.9825239114,1002713.4498767402,,,,,,,,,,,,
1990-05-18,1078411.7867242268,1011899.6900799802,,,,,,,,,,,,
1990-05-25,1078935.6848276576,1002232.9008967574,,,,,,,,,,,,
1990-06-01,1111883.3920664515,1038469.1060313944,,,,,,,,,,,,
1990-06-08,1096008.8604757083,1022160.0275545801,,,,,,,,,,,,
1990-06-15,1101114.1835755147,1008733.984180614,,,,,,,,,,,,
1990-06-22,1093905.2785971523,995816.6964849709,,,,,,,,,,,,
1990-06-29,1121336.9014452586,1016252.578821117,,,,,,,,,,,,
1990-07-06,1137281.0675335207,1016195.9929064035,,,,,,,,,,,,
1990-07-13,1163670.4616840016,1042850.287729888,,,,,,,,,,,,
1990-07-20,1118606.075602286,1004296.3028264231,,,,,,,,,,,,
1990-07-27,1105780.3018597648,1004974.6437308543,,,,,,,,,,,,
1990-08-03,1040642.4961990444,945278.2288884723,,,,,,,,,,,,
1990-08-10,1062175.5711359642,957743.2605614893,,,,,,,,,,,,
1990-08-17,1031141.4092386558,928545.1873463889,,,,,,,,,,,,
1990-08-24,1032499.4474605024,908561.5610328689,,,,,,,,,,,,
1990-08-31,1039259.6531205021,911727.2669322351,,,,,,,,,,,,
1990-09-07,1030689.5920554562,909098.6096685488,,,,,,,,,,,,
1990-09-14,1019340.6669288615,898188.1379878584,,,,,,,,,,,,
1990-09-21,982917.5141306832,860934.421496575,,,,,,,,,,,,
1990-09-28,1035384.1809989336,890189.0806263888,,,,,,,,,,,,
1990-10-05,1020424.3876695286,886062.3630260732,,,,,,,,,,,,
1990-10-12,993939.2398661353,857090.3746927778,,,,,,,,,,,,
1990-10-19,1047950.8261501599,889680.3249480656,,,,,,,,,,,,
1990-10-26,995479.3776789405,853274.534587321,,,,,,,,,,,,
1990-11-02,1029583.8712035548,889199.7759680827,,,,,,,,,,,,
1990-11-09,1059733.5986599126,903021.5757089779,,,,,,,,,,,,
1990-11-16,1082601.6740277854,902625.819342049,,,,,,,,,,,,
1990-11-23,1065374.9435049177,894626.7619805795,,,,,,,,,,,,
1990-11-30,1103663.0397190044,916080.155673372,,,,,,,,,,,,
1990-12-07,1119111.4210750232,929619.2846177488,,,,,,,,,,,,
