Date,1990_gro,1990_bench,1995_gro,1995_bench,2000_gro,2000_bench,2005_gro,2005_bench,2010_gro,2010_bench,2015_gro,2015_bench,2020_gro,2020_bench
1990-01-05,999999.9999999993,1000000.0,,,,,,,,,,,,
1990-01-12,984177.0135602623,952542.4456898138,,,,,,,,,,,,
1990-01-19,980960.0076860934,933830.7948311182,,,,,,,,,,,,
1990-01-26,974456.6063696598,919189.361917041,,,,,,,,,,,,
1990-02-02,979484.167969713,937985.8053887906,,,,,,,,,,,,
1990-02-09,979351.6199675465,932982.7824415632,,,,,,,,,,,,
1990-02-16,982075.3964528181,940444.8774263691,,,,,,,,,,,,
1990-02-23,979207.06196728,928997.4433690149,,,,,,,,,,,,
1990-03-02,986780.0276304415,943327.912529217,,,,,,,,,,,,
1990-03-09,999618.151312826,957262.7978405228,,,,,,,,,,,,
1990-03-16,1011580.2302949593,970999.7187093478,,,,,,,,,,,,
1990-03-23,1005072.2701757355,954323.1768229614,,,,,,,,,,,,
1990-03-30,1007591.6429667389,957347.5904535766,,,,,,,,,,,,
1990-04-06,1024376.5546927729,964894.3917924201,,,,,,,,,,,,
1990-04-13,1033967.9443193559,974419.8024478756,,,,,,,,,,,,
1990-04-20,1011394.111773857,935724.5252756601,,,,,,,,,,,,
1990-04-27,1013939.609872434,935017.8914138724,,,,,,,,,,,,
1990-05-04,1033200.465328028,962520.1123678953,,,,,,,,,,,,
1990-05-11,1056262.983742421,1002713.4498767402,,,,,,,,,,,,
1990-05-18,1074355.9715685388,1011899.6900799802,,,,,,,,,,,,
1990-05-25,1075465.3002734832,1002232.9008967574,,,,,,,,,,,,
1990-06-01,1106714.0287787537,1038469.1060313944,,,,,,,,,,,,
1990-06-08,1090933.226857035,1022160.0275545801,,,,,,,,,,,,
1990-06-15,1094345.3880781988,1008733.984180614,,,,,,,,,,,,
1990-06-22,1087438.8926757078,995816.6964849709,,,,,,,,,,,,
1990-06-29,1113391.8195447978,1016252.578821117,,,,,,,,,,,,
1990-07-06,1127622.3572650559,1016195.9929064035,,,,,,,,,,,,
1990-07-13,1153075.8814045512,1042850.287729888,,,,,,,,,,,,
1990-07-20,1111728.2654461279,1004296.3028264231,,,,,,,,,,,,
1990-07-27,1096332.5561988195,1004974.6437308543,,,,,,,,,,,,
1990-08-03,1032800.7215216658,945278.2288884723,,,,,,,,,,,,
1990-08-10,1054044.913942738,957743.2605614893,,,,,,,,,,,,
1990-08-17,1024651.6101505377,928545.1873463889,,,,,,,,,,,,
1990-08-24,1025284.855833866,908561.5610328689,,,,,,,,,,,,
1990-08-31,1030601.6155522624,911727.2669322351,,,,,,,,,,,,
1990-09-07,1023932.5842315392,909098.6096685488,,,,,,,,,,,,
1990-09-14,1011136.8337881368,898188.1379878584,,,,,,,,,,,,
1990-09-21,974705.3742224737,860934.421496575,,,,,,,,,,,,
1990-09-28,1028453.5558084205,890189.0806263888,,,,,,,,,,,,
1990-10-05,1014177.3573689528,886062.3630260732,,,,,,,,,,,,
1990-10-12,986407.1995207687,857090.3746927778,,,,,,,,,,,,
1990-10-19,1039714.1225408202,889680.3249480656,,,,,,,,,,,,
1990-10-26,986633.7180211138,853274.534587321,,,,,,,,,,,,
1990-11-02,1021586.3486848213,889199.7759680827,,,,,,,,,,,,
1990-11-09,1049576.966571887,903021.5757089779,,,,,,,,,,,,
1990-11-16,1072510.6163904835,902625.819342049,,,,,,,,,,,,
1990-11-23,1055281.0388241694,894626.7619805795,,,,,,,,,,,,
1990-11-30,1093020.6518128118,916080.155673372,,,,,,,,,,,,
1990-12-07,1109518.196369808,929619.2846177488,,,,,,,,,,,,
1990-12-14,1101173.8634366328,921507.0554268523,,,,,,,,,,,,
1990-12-21,1115932.180124762,932474.02676324,,,,,,,,,,,,
1990-12-28,1117099.336161747,933378.5388084921,,,,,,,,,,,,
1991-01-04,1055755.371886598,891602.3483499642,,,,,,,,,,,,
1991-01-11,1053056.9308891397,883264.0342772629,,,,,,,,,,,,
1991-01-18,1140031.7604129552,935752.8182330166,,,,,,,,,,,,
1991-01-25,1158519.4024776006,949800.7028557168,,,,,,,,,,,,
1991-02-01,1212964.3169135686,984595.3473094216,,,,,,,,,,,,
1991-02-08,1291127.8953826027,1041804.3971568682,,,,,,,,,,,,
1991-02-15,1305058.4536381597,1043161.1652247466,,,,,,,,,,,,
1991-02-22,1316265.2646733643,1038073.4359234818,,,,,,,,,,,,
1991-03-01,1311330.3320055157,1043924.2987422314,,,,,,,,,,,,
1991-03-08,1351034.4660934897,1054184.6362168314,,,,,,,,,,,,
1991-03-15,1342459.9946222226,1051782.06383495,,,,,,,,,,,,
1991-03-22,1338787.7116192803,1045337.5664658069,,,,,,,,,,,,
1991-03-29,1357861.2951442474,1049492.5770234794,,,,,,,,,,,,
1991-04-05,1386666.6688498047,1070295.9227691973,,,,,,,,,,,,
1991-04-12,1399110.6037346204,1077447.0540001285,,,,,,,,,,,,
1991-04-19,1393441.6595840605,1076768.7130956973,,,,,,,,,,,,
1991-04-26,1368602.1627145328,1056163.2455334435,,,,,,,,,,,,
1991-05-03,1394962.5965772115,1074309.5547991025,,,,,,,,,,,,
1991-05-10,1372439.7704101973,1064925.522671414,,,,,,,,,,,,
1991-05-17,1340807.207433211,1052262.6128149328,,,,,,,,,,,,
1991-05-24,1385969.743658026,1066988.8383420638,,,,,,,,,,,,
1991-05-31,1415280.5148772136,1096865.3387206115,,,,,,,,,,,,
1991-06-07,1379732.3712423986,1070041.544930036,,,,,,,,,,,,
1991-06-14,1395893.7567056913,1074450.9333268697,,,,,,,,,,,,
1991-06-21,1364307.432942362,1048475.065666833,,,,,,,,,,,,
1991-06-28,1398321.4064941988,1068204.314141191,,,,,,,,,,,,
1991-07-05,1405749.4771374068,1068260.8137968883,,,,,,,,,,,,
1991-07-12,1443018.301900695,1080838.9310403157,,,,,,,,,,,,
1991-07-19,1437633.658497949,1082223.9058065345,,,,,,,,,,,,
1991-07-26,1445401.0626690832,1082987.039324019,,,,,,,,,,,,
1991-08-02,1461845.6675452946,1088385.732379159,,,,,,,,,,,,
1991-08-09,1484122.1245772128,1096752.2531502007,,,,,,,,,,,,
1991-08-16,1433273.5412614096,1064105.8032392159,,,,,,,,,,,,
1991-08-23,1518510.2691961422,1113231.0031121392,,,,,,,,,,,,
1991-08-30,1539084.5291012854,1117696.8911646702,,,,,,,,,,,,
1991-09-06,1495986.671918782,1098306.8994015437,,,,,,,,,,,,
1991-09-13,1501419.388152993,1090420.841351468,,,,,,,,,,,,
1991-09-20,1510754.1694976613,1090816.5977183972,,,,,,,,,,,,
1991-09-27,1520383.4675731556,1096299.9971275749,,,,,,,,,,,,
1991-10-04,1470424.1774394836,1072670.202193722,,,,,,,,,,,,
1991-10-11,1507021.768018884,1092371.1577107236,,,,,,,,,,,,
1991-10-18,1547569.723747337,1102405.3240445023,,,,,,,,,,,,
1991-10-25,1542217.191047816,1100992.056320927,,,,,,,,,,,,
1991-11-01,1548019.0861883475,1103140.2508636469,,,,,,,,,,,,
1991-11-08,1578227.6927998331,1111167.6011824731,,,,,,,,,,,,
1991-11-15,1562908.8118833252,1088894.4880574823,,,,,,,,,,,,
1991-11-22,1529938.538480275,1060911.8043824928,,,,,,,,,,,,
1991-11-29,1576333.2872601063,1078040.6022915053,,,,,,,,,,,,
1991-12-06,1582248.3234494685,1069165.3258421402,,,,,,,,,,,,
1991-12-13,1634488.544033363,1086689.7938590653,,,,,,,,,,,,
1991-12-20,1687120.8594434485,1121625.8168405378,,,,,,,,,,,,
1991-12-27,1806670.495125606,1173407.966934504,,,,,,,,,,,,
1992-01-03,1816086.388091247,1181378.7313386167,,,,,,,,,,,,
1992-01-10,1799501.6369651714,1171146.6868213734,,,,,,,,,,,,
1992-01-17,1771994.654003385,1176856.257371372,,,,,,,,,,,,
1992-01-24,1761342.256161076,1172983.917610218,,,,,,,,,,,,
1992-01-31,1774860.306513754,1157551.0582212994,,,,,,,,,,,,
1992-02-07,1783141.6470328788,1169535.5409143334,,,,,,,,,,,,
1992-02-14,1745760.4852558647,1165889.3722940006,,,,,,,,,,,,
1992-02-21,1744126.468400684,1165295.7377436073,,,,,,,,,,,,
1992-02-28,1755700.8002779488,1165804.5796809471,,,,,,,,,,,,
1992-03-06,1710699.3819563594,1145340.404387444,,,,,,,,,,,,
1992-03-13,1732075.8703861583,1148675.7817719344,,,,,,,,,,,,
1992-03-20,1742034.8334961599,1158625.1554926592,,,,,,,,,,,,
1992-03-27,1746849.4596899073,1139093.7852017656,,,,,,,,,,,,
1992-04-03,1755114.93071749,1146414.501658804,,,,,,,,,,,,
1992-04-10,1760610.0128920258,1147799.4764250228,,,,,,,,,,,,
1992-04-17,1751819.8572921064,1159388.2890101443,,,,,,,,,,,,
