date,ticker,tranche,price,intrinsic_value,mode
2000-01-07,TJX,1,2.54,5.72,PMCC
2000-01-07,ROST,1,1.88,4.65,PMCC
2000-01-07,AZO,1,30.44,81.52,PMCC
2000-01-07,ORLY,1,0.55,1.16,shares
2000-01-07,NKE,1,5.98,7.13,PMCC
2000-01-07,SYY,1,19.44,21.56,PMCC
2000-01-07,CAH,1,39.25,66.87,shares
2000-01-07,ITW,1,32.62,45.85,PMCC
2000-01-07,DHR,1,7.76,11.46,shares
2000-01-07,LOW,1,13.44,28.25,shares
2000-01-07,CVS,1,18.81,24.25,PMCC
2000-01-07,TGT,1,33.75,51.14,PMCC
2000-01-07,DLTR,1,11.46,22.55,shares
2000-01-07,SBUX,1,3.12,5.99,shares
2000-01-07,SYK,1,19.44,26.91,shares
2000-01-24,JNJ,1,41.84,42.62,PMCC
2000-03-03,TJX,2,2.12,5.8,PMCC
2000-03-03,ROST,2,2.11,4.72,PMCC
2000-03-03,AZO,2,22.44,82.72,PMCC
2000-03-03,ORLY,2,0.4,1.17,shares
2000-03-03,NKE,2,3.67,7.24,PMCC
2000-03-03,SYY,2,15.94,21.87,PMCC
2000-03-03,CAH,2,26.75,67.86,shares
2000-03-03,ITW,2,27.56,46.53,PMCC
2000-03-03,DHR,2,6.72,11.63,shares
2000-03-03,LOW,2,11.75,28.67,shares
2000-03-03,CVS,2,15.22,24.61,PMCC
2000-03-03,TGT,2,30.88,51.89,PMCC
2000-03-03,DLTR,2,8.71,22.88,shares
2000-03-03,SYK,2,14.52,27.3,shares
2000-03-20,JNJ,2,39.66,43.25,PMCC
2000-04-28,TJX,3,2.4,5.89,PMCC
2000-04-28,AZO,3,22.94,83.94,PMCC
2000-04-28,ORLY,3,0.45,1.19,shares
2000-04-28,NKE,3,5.43,7.35,PMCC
2000-04-28,ITW,3,32.03,47.21,PMCC
2000-04-28,LOW,3,12.38,29.09,shares
2000-05-03,TGT,3,31.88,52.73,PMCC
2000-05-15,JNJ,3,43.12,43.88,PMCC
2000-05-23,DHR,3,8.31,11.88,shares
2000-05-23,SBUX,2,3.54,6.21,shares
2000-06-01,ROST,3,2.38,4.83,PMCC
2000-06-06,CVS,3,19.44,25.23,PMCC
2000-10-09,DLTR,3,12.19,24.23,shares
2000-10-17,SYK,3,19.31,28.98,shares
2001-03-21,SBUX,3,5.12,6.71,shares
2001-03-22,CAH,3,59.04,75.01,shares
2001-09-19,SYY,3,24.52,25.35,PMCC
