Date,equity
2000-01-07,1000000.0
2000-01-10,998954.5942405318
2000-01-11,997997.7448169827
2000-01-12,996247.1072794982
2000-01-13,998143.3784569285
2000-01-14,996803.8868841166
2000-01-18,994441.0330606851
2000-01-19,994459.9413874964
2000-01-20,992661.3528905623
2000-01-21,990460.5568285115
2000-01-24,984036.4901117677
2000-01-25,981984.2031701542
2000-01-26,981278.2948976457
2000-01-27,982354.2223819168
2000-01-28,979102.2850382897
2000-01-31,983732.5104385292
2000-02-01,982531.0126794535
2000-02-02,980710.1952924577
2000-02-03,980476.6847958929
2000-02-04,980891.504095325
2000-02-07,979752.0638339518
2000-02-08,982098.4075621081
2000-02-09,981782.8866698816
2000-02-10,979012.5139140022
2000-02-11,975724.7360083723
2000-02-14,976670.372965971
2000-02-15,979321.9894051976
2000-02-16,979588.778322163
2000-02-17,981105.7576443474
2000-02-18,978285.5697824425
2000-02-22,981245.6814631613
2000-02-23,979537.3724562264
2000-02-24,975624.3675989143
2000-02-25,974453.4898030484
2000-02-28,974662.3881450578
2000-02-29,974782.5481420954
2000-03-01,976866.9248651521
2000-03-02,973735.4912570219
2000-03-03,974179.0562849558
2000-03-06,962036.4202379946
2000-03-07,937588.0526180718
2000-03-08,946391.8950220278
2000-03-09,957337.2396131742
2000-03-10,947876.3001175501
2000-03-13,945860.1738649749
2000-03-14,941451.2656969108
2000-03-15,974111.6260223071
2000-03-16,1002953.8238394891
2000-03-17,988273.5193462456
2000-03-20,992636.3704733665
2000-03-21,996385.2802983035
2000-03-22,990588.0329917788
2000-03-23,994429.4535163708
2000-03-24,988625.9797547505
2000-03-27,979385.0896146261
2000-03-28,981433.5679823979
2000-03-29,994625.39385189
2000-03-30,1008232.9443871533
2000-03-31,1011195.7802486962
2000-04-03,1023559.894838413
2000-04-04,1038450.3960799641
2000-04-05,1030012.7306214987
2000-04-06,1025067.7827998122
2000-04-07,1019838.7109385701
2000-04-10,1025103.2471132005
2000-04-11,1040504.1509523428
2000-04-12,1052839.4969387813
2000-04-13,1048814.8550429766
2000-04-14,1021522.0506199455
2000-04-17,1035018.7752026682
2000-04-18,1031357.5520827724
2000-04-19,1025970.5310251209
2000-04-20,1038439.2738905904
2000-04-24,1056016.70759423
2000-04-25,1057598.2030145985
2000-04-26,1045384.8311707564
2000-04-27,1048549.7469223664
2000-04-28,1038000.2796463568
2000-05-01,1035821.4897460382
2000-05-02,1035976.9081238415
2000-05-03,1033893.613001639
2000-05-04,1032728.9997987495
2000-05-05,1039399.9291199843
2000-05-08,1050120.4051678372
2000-05-09,1060065.1405609297
2000-05-10,1064046.6293332966
2000-05-11,1076392.6034058118
2000-05-12,1067763.8857193047
2000-05-15,1084009.8609364908
2000-05-16,1084200.0283122784
2000-05-17,1082133.0619587319
2000-05-18,1091537.2823044027
2000-05-19,1090015.4786558717
2000-05-22,1092891.7778268747
2000-05-23,1094100.0977747724
2000-05-24,1114506.633037478
2000-05-25,1099818.82281909
2000-05-26,1104582.4429811782
2000-05-30,1104025.3320776694
2000-05-31,1096654.8540138234
2000-06-01,1095331.8489761564
2000-06-02,1082891.3423379576
2000-06-05,1077542.22782347
2000-06-06,1088348.5408927808
2000-06-07,1089668.5756368253
2000-06-08,1082443.5330082618
2000-06-09,1078231.904574199
2000-06-12,1081216.459372392
2000-06-13,1091434.0387529586
2000-06-14,1103936.9101201692
2000-06-15,1116866.2409565893
2000-06-16,1095895.4376063785
2000-06-19,1095314.1034537852
2000-06-20,1077862.2001587446
2000-06-21,1079257.4082089898
2000-06-22,1070762.6831659277
2000-06-23,1077065.0054858567
2000-06-26,1089723.5995603367
2000-06-27,1095857.551706341
2000-06-28,1093416.962655293
2000-06-29,1090535.9925370952
2000-06-30,1108445.496469602
2000-07-03,1107645.172223183
2000-07-05,1112090.737509412
2000-07-06,1102951.339309756
2000-07-07,1097826.8183073644
2000-07-10,1090515.750108702
2000-07-11,1088496.7386346061
2000-07-12,1086629.5880278293
2000-07-13,1074905.6672419354
2000-07-14,1073755.2879179695
2000-07-17,1072739.5731051383
2000-07-18,1071077.609170895
2000-07-19,1073799.6336541066
2000-07-20,1067242.3809575608
2000-07-21,1061007.543957399
2000-07-24,1060821.4566534234
2000-07-25,1060040.7076627037
2000-07-26,1055645.9353657837
2000-07-27,1064826.028894051
2000-07-28,1070813.9808450365
2000-07-31,1065955.3419902641
2000-08-01,1088551.051465526
2000-08-02,1095978.590894697
2000-08-03,1090943.4156810285
2000-08-04,1084470.3407499818
2000-08-07,1074900.800142702
2000-08-08,1069003.2645863644
2000-08-09,1059817.2055853496
2000-08-10,1069330.1986783904
2000-08-11,1078268.5534816128
2000-08-14,1087707.2333532637
2000-08-15,1084894.4794215234
2000-08-16,1078377.6147720849
