Date,equity
2000-01-07,1000000.0
2000-01-10,1001997.4294428704
2000-01-11,999002.6099110804
2000-01-12,994778.3110972483
2000-01-13,999147.1524769885
2000-01-14,997781.0248753616
2000-01-18,991524.3235313434
2000-01-19,989659.1666913535
2000-01-20,981160.9184993268
2000-01-21,975108.3950336006
2000-01-24,967098.2571222349
2000-01-25,967803.5986737425
2000-01-26,972634.5372767814
2000-01-27,968970.4567735529
2000-01-28,961746.9486556527
2000-01-31,964752.511700559
2000-02-01,968253.8253117171
2000-02-02,969311.2235479275
2000-02-03,975332.3618550347
2000-02-04,975185.0730552807
2000-02-07,970631.4970428249
2000-02-08,973038.8344393404
2000-02-09,963732.9288232191
2000-02-10,959618.7412042103
2000-02-11,954239.4108425977
2000-02-14,955308.5288182325
2000-02-15,954828.4806701938
2000-02-16,948240.1803824066
2000-02-17,944556.2128416643
2000-02-18,938196.9232316902
2000-02-22,937699.2534004191
2000-02-23,941361.1651476684
2000-02-24,937425.8909540239
2000-02-25,935376.5364754981
2000-02-28,942782.8770845782
2000-02-29,946825.8173463916
2000-03-01,940905.2924336074
2000-03-02,941689.0199397592
2000-03-03,948018.3643885438
2000-03-06,932931.3919153791
2000-03-07,900988.326928202
2000-03-08,909464.7476485561
2000-03-09,933189.9099131406
2000-03-10,917778.7577347303
2000-03-13,917505.2187010392
2000-03-14,919887.0074038571
2000-03-15,967456.1523751406
2000-03-16,1035504.1000788125
2000-03-17,1017684.024125198
2000-03-20,1008073.9352768502
2000-03-21,1027595.8433688115
2000-03-22,1023897.1050046232
2000-03-23,1024559.7000380799
2000-03-24,1027934.8633893862
2000-03-27,1029507.6756063057
2000-03-28,1028187.7949784133
2000-03-29,1048329.0060537747
2000-03-30,1067906.0653157902
2000-03-31,1077920.8073626196
2000-04-03,1091365.9836670775
2000-04-04,1088499.127696356
2000-04-05,1084356.763428273
2000-04-06,1083122.9767974727
2000-04-07,1082563.0456441566
2000-04-10,1080501.2802139136
2000-04-11,1087024.155124166
2000-04-12,1092499.5531096633
2000-04-13,1085971.3921638862
2000-04-14,1048265.304213947
2000-04-17,1050094.5277104995
2000-04-18,1057679.5152697535
2000-04-19,1067736.6534922412
2000-04-20,1068599.2872962009
2000-04-24,1072982.8626222059
2000-04-25,1084123.7956382672
2000-04-26,1083606.506379996
2000-04-27,1075102.5611307884
2000-04-28,1069681.0120722228
2000-05-01,1091812.217701391
2000-05-02,1085291.6672680357
2000-05-03,1049596.9470301636
2000-05-04,1062659.285295603
2000-05-05,1080428.2643978093
2000-05-08,1083212.1698121976
2000-05-09,1086443.2894715224
2000-05-10,1080805.0172937126
2000-05-11,1091645.8095166513
2000-05-12,1080416.804767164
2000-05-15,1115849.0180875657
2000-05-16,1121956.516900175
2000-05-17,1095536.203041757
2000-05-18,1096744.1202359598
2000-05-19,1087747.239201281
2000-05-22,1087238.8761742641
2000-05-23,1085332.2496793538
2000-05-24,1088895.0955718486
2000-05-25,1085265.3874830105
2000-05-26,1075124.0197653403
2000-05-30,1094526.4643943938
2000-05-31,1096040.1182202818
2000-06-01,1100318.5465644961
2000-06-02,1114442.8880544335
2000-06-05,1103030.5130384166
2000-06-06,1076573.4276167732
2000-06-07,1071548.995236613
2000-06-08,1064948.6218223132
2000-06-09,1062396.692266989
2000-06-12,1046884.7472688167
2000-06-13,1057201.6619035378
2000-06-14,1061701.618036443
2000-06-15,1075702.7001670697
2000-06-16,1064203.1136433366
2000-06-19,1058540.996054568
2000-06-20,1045954.9314148241
2000-06-21,1038567.6198207039
2000-06-22,1034819.0724371591
2000-06-23,1026200.2317196
2000-06-26,1034254.3559255502
2000-06-27,1055345.4936573505
2000-06-28,1066277.5397449252
2000-06-29,1054551.4487903868
2000-06-30,1061654.2389315946
2000-07-03,1070464.351544431
2000-07-05,1062157.4282520597
2000-07-06,1073959.9856814859
2000-07-07,1090787.8129054199
2000-07-10,1093363.1897486919
2000-07-11,1105250.8588615097
2000-07-12,1103459.7120021782
2000-07-13,1090389.3643395926
2000-07-14,1097941.7616013787
2000-07-17,1092488.4888102135
2000-07-18,1089742.5160751021
2000-07-19,1080082.4896766166
2000-07-20,1082665.6594925823
2000-07-21,1075982.7511209552
2000-07-24,1077562.5484242174
2000-07-25,1079283.7565026775
2000-07-26,1087253.5108838682
2000-07-27,1079406.3921759287
2000-07-28,1061229.4171509023
2000-07-31,1060399.9405542682
2000-08-01,1064817.006507264
2000-08-02,1067279.2859426448
2000-08-03,1069860.2882288576
2000-08-04,1081492.7169133183
2000-08-07,1089066.7932634454
2000-08-08,1097418.5680818423
2000-08-09,1094879.2050148365
2000-08-10,1089757.0024473134
2000-08-11,1100354.2197610696
2000-08-14,1110747.694963325
2000-08-15,1089792.5938092656
2000-08-16,1081170.3811255726
2000-08-17,1084254.6408685152
2000-08-18,1085210.8806253662
2000-08-21,1081737.7306943443
