Date,Defensive
2000-01-07,999999.9999999997
2000-01-14,994327.4483350188
2000-01-21,985468.7954475889
2000-01-28,983721.3187505669
2000-02-04,983196.5700395281
2000-02-11,984952.2691114866
2000-02-18,980743.9425767208
2000-02-25,977936.2643977334
2000-03-03,965153.4074929198
2000-03-10,1008174.5731697966
2000-03-17,1000362.7858845424
2000-03-24,1014429.405292046
2000-03-31,1029911.4858619825
2000-04-07,1051867.2581786546
2000-04-14,1045078.8090390849
2000-04-21,1053564.039958477
2000-04-28,1038517.6025703407
2000-05-05,1079741.667258165
2000-05-12,1092366.268526639
2000-05-19,1095983.6354087887
2000-05-26,1093758.8318754402
2000-06-02,1082765.857735897
2000-06-09,1113023.9118461455
2000-06-16,1072126.8798979248
2000-06-23,1087495.343366139
2000-06-30,1100421.8194434752
2000-07-07,1077068.9326398761
2000-07-14,1071891.811627701
2000-07-21,1067195.3339288356
2000-07-28,1089347.6437247796
2000-08-04,1068814.9756519143
2000-08-11,1072850.293850341
2000-08-18,1075870.5613641408
2000-08-25,1076915.8215009347
2000-09-01,1078643.6914887165
2000-09-08,1066304.5230598282
2000-09-15,1075170.5053090279
2000-09-22,1119287.3425254726
2000-09-29,1139337.4730950978
2000-10-06,1150100.6031334745
2000-10-13,1152435.515980199
2000-10-20,1190537.6934591825
2000-10-27,1216786.2590800563
2000-11-03,1238681.2914869597
2000-11-10,1243798.0100099081
2000-11-17,1264997.1260713248
2000-11-24,1280874.768025191
2000-12-01,1245328.114872428
2000-12-08,1224827.2330526977
2000-12-15,1243883.2538115906
2000-12-22,1294847.7364873497
2000-12-29,1185683.262159082
2001-01-05,1198544.0298287533
2001-01-12,1201187.9569758496
2001-01-19,1216373.5421188222
2001-01-26,1228532.9342372592
2001-02-02,1265732.692319223
2001-02-09,1251270.2279279581
2001-02-16,1257635.6985849515
2001-02-23,1254966.435889715
2001-03-02,1267631.4974589865
2001-03-09,1211920.0063116932
2001-03-16,1160454.733879229
2001-03-23,1195034.8615309275
2001-03-30,1203473.1484960201
2001-04-06,1191152.5430255136
2001-04-13,1191453.7630814235
2001-04-20,1191928.3341940327
2001-04-27,1195415.8914475497
2001-05-04,1206138.4903659783
2001-05-11,1232857.2325920644
2001-05-18,1228225.3256893172
2001-05-25,1241891.4706473295
2001-06-01,1255137.751185874
2001-06-08,1240789.0515746644
2001-06-15,1260076.0510913627
2001-06-22,1252557.1682013734
2001-06-29,1253892.7341442702
2001-07-06,1257976.7094299663
2001-07-13,1286468.3997854767
2001-07-20,1283810.3746505603
2001-07-27,1286793.1089951335
2001-08-03,1284615.3475700603
2001-08-10,1312074.6266668765
2001-08-17,1333771.7983429513
2001-08-24,1315294.5782575826
2001-08-31,1322154.397348505
2001-09-07,1315612.8931568896
2001-09-14,1274298.872218213
2001-09-21,1320627.1915414883
2001-09-28,1315590.470946973
2001-10-05,1322227.476766194
2001-10-12,1299302.8859357003
2001-10-19,1318737.5664058842
2001-10-26,1321183.0596268203
2001-11-02,1317424.783409028
2001-11-09,1327621.6914540129
2001-11-16,1338908.732104466
2001-11-23,1342433.5650084675
2001-11-30,1339655.4488487383
2001-12-07,1319892.0303399966
2001-12-14,1343183.0158152084
2001-12-21,1358280.6543018906
2001-12-28,1342788.436444525
2002-01-04,1326773.5170745328
2002-01-11,1345947.5601325363
2002-01-18,1350553.623599532
2002-01-25,1377372.274383076
2002-02-01,1351245.1263421588
2002-02-08,1373257.5118981549
2002-02-15,1382918.7236568246
2002-02-22,1389048.598570719
2002-03-01,1381131.5022152893
2002-03-08,1399117.5497114188
2002-03-15,1392587.0395358352
2002-03-22,1402379.2613163136
2002-03-29,1386045.8206634365
2002-04-05,1403775.9094366832
2002-04-12,1404542.3514887383
2002-04-19,1399690.273803697
2002-04-26,1418577.784733168
