Date,Growth
2000-01-07,999999.9999999993
2000-01-14,982094.4428099792
2000-01-21,969676.1478333726
2000-01-28,976417.3407724181
2000-02-04,960759.041268672
2000-02-11,945044.9866474854
2000-02-18,938012.9154529702
2000-02-25,943262.0845627643
2000-03-03,942285.5186042548
2000-03-10,1045591.7047175269
2000-03-17,1034213.5220620891
2000-03-24,1076631.4851940442
2000-03-31,1091316.6435358028
2000-04-07,1095458.2772926847
2000-04-14,1078133.8975688796
2000-04-21,1078925.6136954734
2000-04-28,1069563.8058817466
2000-05-05,1095147.5949363252
2000-05-12,1101074.4224424683
2000-05-19,1092408.0200200628
2000-05-26,1103414.102868998
2000-06-02,1070234.8951926306
2000-06-09,1079205.273493962
2000-06-16,1036633.2377148992
2000-06-23,1056821.0286596757
2000-06-30,1070183.9694459382
2000-07-07,1086639.8024184057
2000-07-14,1077788.2412207804
2000-07-21,1080498.3384376029
2000-07-28,1069945.7578530773
2000-08-04,1087311.5741955666
2000-08-11,1083677.6633004611
2000-08-18,1086414.5921064876
2000-08-25,1068504.8037057328
2000-09-01,1084080.0464013764
2000-09-08,1100049.7581240945
2000-09-15,1086121.714304581
2000-09-22,1100193.5742000495
2000-09-29,1120284.2468377193
2000-10-06,1077711.2375342355
2000-10-13,1119911.3482991797
2000-10-20,1118959.8897618223
2000-10-27,1225036.9844315911
2000-11-03,1229317.4045293732
2000-11-10,1223502.436913918
2000-11-17,1229251.2824351348
2000-11-24,1231028.565829662
2000-12-01,1256955.330338728
2000-12-08,1259098.0169015618
2000-12-15,1246012.0453622947
2000-12-22,1322965.763114073
2000-12-29,1308071.2048336945
2001-01-05,1317122.9741482316
2001-01-12,1320978.2239620418
2001-01-19,1328733.0735728634
2001-01-26,1369030.9470640076
2001-02-02,1331480.0533139354
2001-02-09,1338369.6427144825
2001-02-16,1313337.2625152336
2001-02-23,1301680.6754668707
2001-03-02,1358121.91134956
2001-03-09,1264157.3565047162
2001-03-16,1222649.4836989085
2001-03-23,1257254.195630405
2001-03-30,1283942.7233164164
2001-04-06,1261415.6431231042
2001-04-13,1330860.6133194626
2001-04-20,1345917.005685336
2001-04-27,1348027.2424747483
2001-05-04,1367143.2318233296
2001-05-11,1424036.5789393822
2001-05-18,1436871.953058285
2001-05-25,1427903.7105493885
2001-06-01,1452171.4998693264
2001-06-08,1428461.1998102346
2001-06-15,1469509.7981291949
2001-06-22,1417444.309275123
2001-06-29,1413384.1162304445
2001-07-06,1453100.6707106852
2001-07-13,1494481.622768761
2001-07-20,1480873.0274744902
2001-07-27,1478691.0762814505
2001-08-03,1468097.2174150383
2001-08-10,1490893.8568550518
2001-08-17,1477489.298486532
2001-08-24,1466662.22580246
2001-08-31,1449754.3726172405
2001-09-07,1372972.4455203023
2001-09-14,1275107.573632109
2001-09-21,1350400.1261156665
2001-09-28,1422318.8026908373
2001-10-05,1455199.7551675446
2001-10-12,1450248.057205171
2001-10-19,1473361.3623167328
2001-10-26,1441986.3251812018
2001-11-02,1475416.146079379
2001-11-09,1550743.9904023819
2001-11-16,1531906.0293945465
2001-11-23,1533996.658892725
2001-11-30,1624399.9806490822
2001-12-07,1567452.6508707511
2001-12-14,1615809.5701095855
2001-12-21,1658356.5334893893
2001-12-28,1608248.7275790563
2002-01-04,1594059.1222473453
2002-01-11,1582788.658139407
2002-01-18,1636442.8470969575
2002-01-25,1699749.1963636142
2002-02-01,1631193.0673806185
2002-02-08,1700717.9016848893
2002-02-15,1679987.8367172447
2002-02-22,1687642.4120974697
2002-03-01,1697031.8624839233
2002-03-08,1710605.3970875142
2002-03-15,1737636.2167303746
2002-03-22,1722077.4081185213
2002-03-29,1673720.2569269026
2002-04-05,1724208.438030731
2002-04-12,1742746.0648148914
2002-04-19,1763534.7352989733
2002-04-26,1770624.0530716493
2002-05-03,1754228.2729794083
2002-05-10,1769131.229095619
2002-05-17,1788497.376020997
2002-05-24,1764483.7012481967
2002-05-31,1742320.2900214863
2002-06-07,1727145.328310893
2002-06-14,1737488.8995129904
2002-06-21,1698390.8527658654
2002-06-28,1630022.1197806303
2002-07-05,1590218.0007551804
2002-07-12,1516451.7325823063
2002-07-19,1491510.4037111383
2002-07-26,1512589.7306284625
2002-08-02,1522519.3887207033
2002-08-09,1602195.599740272
2002-08-16,1667544.8745448408
2002-08-23,1594621.9290245525
2002-08-30,1584030.7495423374
2002-09-06,1629841.9186523315
2002-09-13,1609999.693750899
2002-09-20,1637789.1321043805
2002-09-27,1552950.7941529644
2002-10-04,1547415.4701868014
2002-10-11,1666545.9981924805
2002-10-18,1676770.0720421274
2002-10-25,1688534.4420974096
2002-11-01,1666522.629350933
2002-11-08,1687340.677698041
2002-11-15,1680228.7283993522
2002-11-22,1688319.5039078426
2002-11-29,1654022.9322567962
2002-12-06,1623293.4332235109
2002-12-13,1583382.7073349687
2002-12-20,1581744.2407827664
2002-12-27,1633807.2508141468
2003-01-03,1632059.6543029416
2003-01-10,1604246.4603507214
2003-01-17,1552785.2648141526
2003-01-24,1489876.17994078
2003-01-31,1492523.1960895334
2003-02-07,1461168.4728026595
2003-02-14,1483340.806362717
2003-02-21,1496506.9518142042
2003-02-28,1466950.043143968
2003-03-07,1517145.2885916186
2003-03-14,1588022.7696438797
2003-03-21,1583747.6995687254
2003-03-28,1614352.331230504
2003-04-04,1620715.4083141123
2003-04-11,1639925.7501716674
2003-04-18,1643882.7184007047
2003-04-25,1652307.2937841052
2003-05-02,1690727.2671389638
2003-05-09,1702953.7907219923
2003-05-16,1672855.2049478695
2003-05-23,1680195.862629812
2003-05-30,1767502.0671331072
2003-06-06,1775324.037178731
2003-06-13,1749420.100681908
2003-06-20,1758093.8836514591
2003-06-27,1755781.745360109
2003-07-04,1774393.490287222
2003-07-11,1789627.925383556
2003-07-18,1803022.9562957874
2003-07-25,1840757.5036304744
2003-08-01,1808891.6134635513
2003-08-08,1876682.9918598365
2003-08-15,1925609.095999169
2003-08-22,1939021.81324484
2003-08-29,1958859.7845246464
2003-09-05,1903011.1829053073
2003-09-12,1947794.4724756156
2003-09-19,1933271.4190009113
2003-09-26,1951008.367286865
2003-10-03,2015460.9452655506
2003-10-10,2033062.389673826
2003-10-17,2025122.1074964115
2003-10-24,2090156.6390236372
2003-10-31,2108620.0992528996
2003-11-07,2096892.3682841866
2003-11-14,2048990.5484996943
2003-11-21,2119794.3676668596
2003-11-28,2106799.260297146
2003-12-05,2050034.189254947
2003-12-12,2066329.901500688
2003-12-19,2047413.5249863653
2003-12-26,2080324.6187824362
2004-01-02,2080091.8244239055
2004-01-09,2111397.1711028055
2004-01-16,2133072.7921968834
2004-01-23,2113938.446422208
2004-01-30,2138313.6854390404
2004-02-06,2206758.1359580373
2004-02-13,2210172.0821794937
2004-02-20,2216292.6742067933
2004-02-27,2194010.2273057415
2004-03-05,2140246.73544251
2004-03-12,2180850.6587966452
2004-03-19,2181293.013311322
2004-03-26,2224602.4318339024
2004-04-02,2232549.642778261
2004-04-09,2228918.272916057
2004-04-16,2286160.789562344
2004-04-23,2268585.0022237073
2004-04-30,2248421.0782739706
2004-05-07,2189024.5502506397
2004-05-14,2155779.1142015406
2004-05-21,2236657.6190520427
2004-05-28,2255968.9775203518
2004-06-04,2293488.631457743
2004-06-11,2293102.0472563826
2004-06-18,2331358.9859530837
2004-06-25,2246063.7162999706
2004-07-02,2187782.7754469966
2004-07-09,2185101.1641496457
2004-07-16,2126410.535798619
2004-07-23,2141046.251769682
2004-07-30,2053831.9597647206
2004-08-06,2049403.0273239112
2004-08-13,2091360.8671484725
2004-08-20,2088557.9601574077
2004-08-27,2134792.065567213
2004-09-03,2122569.5327686644
2004-09-10,2156089.642376328
2004-09-17,2122711.749398749
2004-09-24,2138943.4922245997
2004-10-01,2158419.6647934583
2004-10-08,2117325.6851984765
2004-10-15,2187203.118868511
2004-10-22,2251362.268521036
2004-10-29,2352661.70699893
2004-11-05,2379725.6173603553
2004-11-12,2372780.6615974614
2004-11-19,2378167.8883771123
2004-11-26,2397780.1230446035
2004-12-03,2397321.5421302817
2004-12-10,2396598.511501699
2004-12-17,2435827.6734542493
2004-12-24,2468022.5196345104
2004-12-31,2415962.502445256
2005-01-07,2404895.826154682
2005-01-14,2421584.9974019635
2005-01-21,2388638.602527706
2005-01-28,2433590.7673709686
2005-02-04,2426182.6920687864
2005-02-11,2442905.6729931226
2005-02-18,2438372.918027703
2005-02-25,2499230.3851444563
2005-03-04,2495041.766730364
2005-03-11,2422384.142546582
2005-03-18,2397986.0837133396
2005-03-25,2409164.7749864934
2005-04-01,2415512.50135407
2005-04-08,2332499.328221192
2005-04-15,2325084.634282041
2005-04-22,2321579.211927323
2005-04-29,2360791.3198709893
2005-05-06,2357886.6906356737
2005-05-13,2462974.774511477
2005-05-20,2469193.465782423
2005-05-27,2507658.2736935867
2005-06-03,2503547.680455749
2005-06-10,2540667.731204842
2005-06-17,2498429.774151733
2005-06-24,2488769.0355553436
2005-07-01,2478703.344429439
2005-07-08,2530117.242090583
2005-07-15,2568934.211597754
2005-07-22,2613253.6337974924
2005-07-29,2562308.997917734
2005-08-05,2550028.616790042
2005-08-12,2508674.492028881
2005-08-19,2478196.7337723523
2005-08-26,2430105.2360634217
2005-09-02,2452436.6542920317
2005-09-09,2437408.4368047207
2005-09-16,2384118.003361022
2005-09-23,2373822.4119478315
2005-09-30,2364672.622777262
2005-10-07,2327645.2687216164
2005-10-14,2329056.5390065834
2005-10-21,2292677.2820341038
2005-10-28,2440238.391693707
2005-11-04,2478273.5621404178
2005-11-11,2487483.86396212
2005-11-18,2515508.0923002814
2005-11-25,2520746.8688663146
2005-12-02,2539636.103871436
2005-12-09,2583668.7570466497
2005-12-16,2555527.6171825132
