Date,equity
2000-01-07,1000000.0
2000-01-10,1001997.4294428705
2000-01-11,998445.2567327754
2000-01-12,994538.8028717608
2000-01-13,998469.0836331156
2000-01-14,998613.2233318347
2000-01-18,993026.9099470462
2000-01-19,990510.5481074074
2000-01-20,983966.5402117497
2000-01-21,979418.3415764181
2000-01-24,971354.0847610263
2000-01-25,972510.6750249589
2000-01-26,977166.5918792756
2000-01-27,973997.8135903997
2000-01-28,966981.7200806885
2000-01-31,970345.5785821051
2000-02-01,973793.4491502058
2000-02-02,974549.9392170446
2000-02-03,981641.5074846003
2000-02-04,982051.247276945
2000-02-07,977809.6638843168
2000-02-08,979613.7135447839
2000-02-09,970754.5237449878
2000-02-10,966385.4956940407
2000-02-11,961349.3253848539
2000-02-14,963014.2567502211
2000-02-15,962598.8132660768
2000-02-16,956578.7269637735
2000-02-17,953416.4534675467
2000-02-18,947588.447647726
2000-02-22,947474.5455382818
2000-02-23,951818.2160873432
2000-02-24,948982.86797829
2000-02-25,947700.6466538068
2000-02-28,954894.4938476263
2000-02-29,959620.7908798136
2000-03-01,953953.1311898357
2000-03-02,953417.1635311912
2000-03-03,960381.9321193454
2000-03-06,944979.0900614909
2000-03-07,913497.4549600056
2000-03-08,922517.6217056145
2000-03-09,946929.6017424789
2000-03-10,931964.5130263614
2000-03-13,931718.9745042087
2000-03-14,933778.0322093052
2000-03-15,979058.7830048084
2000-03-16,1038442.3107047656
2000-03-17,1023888.3628094736
2000-03-20,1016754.6674625234
2000-03-21,1034579.7661647083
2000-03-22,1032387.6093334338
2000-03-23,1032496.0791148017
2000-03-24,1035098.3253491542
2000-03-27,1036013.6697705713
2000-03-28,1034321.6905532107
2000-03-29,1048147.2669392191
2000-03-30,1062160.6158022422
2000-03-31,1070748.9335759194
2000-04-03,1082889.84960348
2000-04-04,1078884.2071420832
2000-04-05,1074999.1181815406
2000-04-06,1075423.495777047
2000-04-07,1077962.1468957877
2000-04-10,1076240.6872981873
2000-04-11,1077258.192416078
2000-04-12,1080968.1324464483
2000-04-13,1077724.9254416912
2000-04-14,1045055.1178820962
2000-04-17,1053389.177622762
2000-04-18,1063799.8430059478
2000-04-19,1071758.7607653108
2000-04-20,1073406.5278916636
2000-04-24,1078320.598539496
2000-04-25,1089636.608662092
2000-04-26,1090469.4379681365
2000-04-27,1084874.2619498493
2000-04-28,1078107.0886031978
2000-05-01,1098702.1863765558
2000-05-02,1090780.9257781103
2000-05-03,1057569.420073226
2000-05-04,1070272.2459388543
2000-05-05,1089796.6053170776
2000-05-08,1093745.6405736282
2000-05-09,1097970.7645258862
2000-05-10,1092330.609784601
2000-05-11,1103899.8777168416
2000-05-12,1096405.2260788837
2000-05-15,1132250.706754357
2000-05-16,1137805.0810697274
2000-05-17,1116381.9590249136
2000-05-18,1118291.871438725
2000-05-19,1110089.115167524
2000-05-22,1111521.0320684696
2000-05-23,1109461.1935559942
2000-05-24,1113713.6449949183
2000-05-25,1111941.8089237409
2000-05-26,1103125.8661439775
2000-05-30,1125188.7395116438
2000-05-31,1126509.4847702929
2000-06-01,1130005.3690386263
2000-06-02,1145459.8270798766
2000-06-05,1137849.0213655154
2000-06-06,1115946.6571813184
2000-06-07,1109161.5678723897
2000-06-08,1103274.9278335406
2000-06-09,1101756.199966621
2000-06-12,1087485.1794413675
2000-06-13,1097779.2402670498
2000-06-14,1102418.3969573244
2000-06-15,1114397.0951898117
2000-06-16,1105699.1536100286
2000-06-19,1100993.3820124087
2000-06-20,1088552.4451453702
2000-06-21,1082419.5755503
2000-06-22,1078086.9872706085
2000-06-23,1066811.9273602124
2000-06-26,1073279.3125851143
2000-06-27,1091930.3180194765
2000-06-28,1104806.700600103
2000-06-29,1095485.7899296344
2000-06-30,1097054.1417718895
2000-07-03,1107727.9140575742
2000-07-05,1100947.231880752
2000-07-06,1111728.3733725543
2000-07-07,1129651.1236581565
2000-07-10,1132004.0181003164
2000-07-11,1140593.8666528275
2000-07-12,1139509.2836913432
2000-07-13,1125569.1582709972
2000-07-14,1133044.6409359484
2000-07-17,1130237.0421531962
2000-07-18,1129641.085231421
2000-07-19,1121618.1010341055
2000-07-20,1123482.66714439
2000-07-21,1118118.113645607
2000-07-24,1119137.4118129895
2000-07-25,1120229.24263942
2000-07-26,1126008.3069945497
2000-07-27,1120274.17132222
2000-07-28,1104041.714175936
2000-07-31,1106640.028895053
2000-08-01,1110504.7701542487
2000-08-02,1113471.5575460196
2000-08-03,1115849.2802776566
2000-08-04,1128955.7820916052
2000-08-07,1137086.26126683
2000-08-08,1141264.22569095
2000-08-09,1138175.630796405
2000-08-10,1136644.3883756015
2000-08-11,1144655.1465179825
2000-08-14,1156179.605514262
2000-08-15,1139058.1704442678
2000-08-16,1131989.5916978223
2000-08-17,1134948.1498580927
2000-08-18,1135041.116521344
2000-08-21,1134145.0473740574
2000-08-22,1130510.3329105976
2000-08-23,1133193.615636652
2000-08-24,1136548.1501928966
2000-08-25,1140078.5888509355
2000-08-28,1136621.074635588
2000-08-29,1139312.6648028747
2000-08-30,1140744.7768775048
2000-08-31,1125919.7290488642
2000-09-01,1145621.3651203301
2000-09-05,1145881.0975073443
2000-09-06,1139545.870313497
2000-09-07,1140472.1103016203
2000-09-08,1149073.706402229
2000-09-11,1146486.4143946287
2000-09-12,1162380.7217754975
2000-09-13,1156921.9801622615
2000-09-14,1152061.2040910013
2000-09-15,1144858.5252824246
2000-09-18,1134587.6042268395
2000-09-19,1135521.1880491378
2000-09-20,1129896.1610597698
2000-09-21,1141680.0721125652
2000-09-22,1146429.2004223142
2000-09-25,1147194.5409297715
2000-09-26,1140938.2994794622
2000-09-27,1144811.5379895987
2000-09-28,1157878.0456812903
2000-09-29,1154342.4593287602
2000-10-02,1146958.9154828258
2000-10-03,1150364.7834227537
2000-10-04,1158403.847024464
2000-10-05,1163954.2130635413
2000-10-06,1152508.4606465849
2000-10-09,1154100.2508235325
2000-10-10,1153778.495916258
2000-10-11,1142125.3705906586
2000-10-12,1119150.2813864385
2000-10-13,1144518.1118885346
2000-10-16,1148575.809837938
2000-10-17,1131344.7634716479
2000-10-18,1159796.9728248615
2000-10-19,1175155.656405991
2000-10-20,1157099.999278769
2000-10-23,1155140.6678919499
2000-10-24,1158244.069913323
2000-10-25,1166369.1600067979
2000-10-26,1174068.0384230614
2000-10-27,1184889.3054532881
2000-10-30,1223854.0763986611
2000-10-31,1258269.6885260395
2000-11-01,1259621.737517677
2000-11-02,1271262.1677477076
2000-11-03,1267783.7694373035
2000-11-06,1277981.6776112113
2000-11-07,1278146.9921486648
2000-11-08,1288893.6559523446
2000-11-09,1258739.4647964388
2000-11-10,1240070.1201888528
2000-11-13,1253192.5748863437
2000-11-14,1265539.2431628103
2000-11-15,1273759.4668947202
2000-11-16,1269107.3822147618
2000-11-17,1282138.0442351098
2000-11-20,1277553.146997261
2000-11-21,1279558.547403048
2000-11-22,1282005.6243732488
2000-11-24,1289359.7995880507
2000-11-27,1303394.522100649
2000-11-28,1288268.572009811
2000-11-29,1287569.9687889102
2000-11-30,1282757.6694354636
2000-12-01,1290673.2290911665
2000-12-04,1304947.681240275
2000-12-05,1330999.051020393
2000-12-06,1317684.2636706496
2000-12-07,1316869.081098289
2000-12-08,1332783.2319681218
2000-12-11,1328618.5177716403
2000-12-12,1337770.508792624
2000-12-13,1327036.604183385
2000-12-14,1317042.9340157376
2000-12-15,1305073.2141197291
2000-12-18,1321567.6214950066
2000-12-19,1288131.1068590034
2000-12-20,1274614.2319892244
2000-12-21,1300161.0031774838
2000-12-22,1321280.5603284952
2000-12-26,1334764.9720895728
2000-12-27,1364695.3733384062
2000-12-28,1370131.9017011498
2000-12-29,1377914.7667103997
2001-01-02,1345836.964339699
2001-01-03,1386610.6960754842
2001-01-04,1361503.6904630996
2001-01-05,1358194.9041228213
2001-01-08,1356360.0862957332
2001-01-09,1361667.0970322806
2001-01-10,1379849.022898145
2001-01-11,1386079.9306607319
2001-01-12,1390939.718324547
2001-01-16,1403244.7705132705
2001-01-17,1404033.764827611
2001-01-18,1398656.6925563158
2001-01-19,1366281.3888903689
2001-01-22,1376765.916260345
2001-01-23,1391228.8795202146
2001-01-24,1379233.755536668
2001-01-25,1399285.763605426
2001-01-26,1406668.1003850214
2001-01-29,1420733.5267686348
2001-01-30,1416015.2893612953
2001-01-31,1432060.1531415198
2001-02-01,1435748.8985132908
2001-02-02,1416132.216925919
2001-02-05,1417236.881134636
2001-02-06,1419484.2181288411
2001-02-07,1430618.5085662247
2001-02-08,1410223.7253389268
2001-02-09,1391916.8482905685
2001-02-12,1410000.2470563306
2001-02-13,1417383.412784365
2001-02-14,1424112.5729752325
2001-02-15,1426454.24855341
2001-02-16,1419871.7420256757
2001-02-20,1427544.9888124652
2001-02-21,1400638.636277462
2001-02-22,1398719.2913979234
2001-02-23,1402909.845168246
2001-02-26,1439586.1259432454
2001-02-27,1415740.5713357863
2001-02-28,1408557.5313607152
2001-03-01,1395738.353760787
2001-03-02,1401027.0107075234
2001-03-05,1405942.2159560197
2001-03-06,1417878.2278665993
2001-03-07,1434801.0996180282
2001-03-08,1452227.092023395
2001-03-09,1438197.4631293498
2001-03-12,1403432.144776385
2001-03-13,1398608.7321662782
2001-03-14,1373555.6730527792
2001-03-15,1360736.2048417728
2001-03-16,1345123.2994016497
2001-03-19,1360380.8701059422
2001-03-20,1357460.6187886286
2001-03-21,1346961.5460334544
2001-03-22,1314687.2857802007
2001-03-23,1333609.4892763384
2001-03-26,1350084.928777936
2001-03-27,1373084.2659694604
2001-03-28,1357469.7954832967
2001-03-29,1363511.2868257118
2001-03-30,1382783.8567645154
2001-04-02,1378494.168945048
2001-04-03,1350332.6608439626
2001-04-04,1361751.4626144164
2001-04-05,1394625.3947716092
2001-04-06,1376999.8626462966
2001-04-09,1380455.020050783
2001-04-10,1394137.5186708882
2001-04-11,1376758.4814991893
2001-04-12,1379433.6224503124
2001-04-16,1380273.4781026894
2001-04-17,1393073.0690233684
2001-04-18,1446554.9268621108
2001-04-19,1461500.896047124
2001-04-20,1446509.4814859794
2001-04-23,1437803.5990527575
2001-04-24,1421873.0859449815
2001-04-25,1452207.8842446215
2001-04-26,1472891.6771496262
2001-04-27,1489022.8278638225
2001-04-30,1488465.6934122215
2001-05-01,1506416.341304989
2001-05-02,1498003.1109854456
2001-05-03,1481237.666468997
2001-05-04,1493032.7816958418
2001-05-07,1488557.3687105814
2001-05-08,1498908.9298455645
2001-05-09,1488378.4021275607
2001-05-10,1506133.8379132093
2001-05-11,1505768.102430421
2001-05-14,1505788.6393234252
2001-05-15,1519764.3262917306
2001-05-16,1541068.6364147803
2001-05-17,1561318.8683976978
2001-05-18,1562698.3581530007
2001-05-21,1599400.2096514348
2001-05-22,1583846.2666307345
2001-05-23,1560801.4508870451
2001-05-24,1579108.0411485517
2001-05-25,1583292.748866555
2001-05-29,1571363.4110433632
2001-05-30,1568187.5349414928
2001-05-31,1577969.8747076776
2001-06-01,1584522.108395798
2001-06-04,1586317.1184617828
2001-06-05,1608614.3164055839
2001-06-06,1601008.5584018033
2001-06-07,1605470.879708561
2001-06-08,1599114.8967331618
2001-06-11,1580550.8698218358
2001-06-12,1595826.5853296171
2001-06-13,1597281.0861593038
2001-06-14,1587778.312900709
2001-06-15,1581658.873381582
2001-06-18,1595713.5067192027
2001-06-19,1607423.5677064233
2001-06-20,1623977.5153958972
2001-06-21,1636156.514415724
2001-06-22,1613208.4724284648
2001-06-25,1600361.8430643533
2001-06-26,1606123.5307567783
2001-06-27,1578664.2428493658
2001-06-28,1594581.462505399
2001-06-29,1587947.0962221047
2001-07-02,1599941.7527460726
2001-07-03,1605071.976939161
2001-07-05,1601264.8444632096
2001-07-06,1575946.5181695132
2001-07-09,1586514.0442796373
2001-07-10,1568077.2880882437
2001-07-11,1578733.8565120606
2001-07-12,1636021.4252450755
2001-07-13,1637350.3770949286
2001-07-16,1641541.4311238271
2001-07-17,1655134.9341796236
2001-07-18,1658354.9258151278
2001-07-19,1671929.6268314673
2001-07-20,1687088.063865995
2001-07-23,1673340.0155605401
2001-07-24,1652645.5225338943
2001-07-25,1642833.8541884364
2001-07-26,1648724.9526962163
2001-07-27,1641833.6417801694
2001-07-30,1645973.3192603125
2001-07-31,1648784.0480755197
2001-08-01,1639200.1842035125
2001-08-02,1642178.0232725774
2001-08-03,1637212.7955929707
2001-08-06,1626121.9343940124
2001-08-07,1637691.815674935
2001-08-08,1618003.6313657395
2001-08-09,1636095.645857934
2001-08-10,1638980.5442711813
2001-08-13,1646533.7064264982
2001-08-14,1648632.912358323
2001-08-15,1646352.2682176975
2001-08-16,1648606.4341911757
2001-08-17,1628342.403211326
2001-08-20,1644006.0355178064
2001-08-21,1631434.9634753868
2001-08-22,1627480.2399100906
2001-08-23,1630544.167970862
2001-08-24,1659814.2443322781
2001-08-27,1651522.7460139843
2001-08-28,1635045.4772867288
2001-08-29,1629476.8084025534
2001-08-30,1618284.4204348803
2001-08-31,1625662.8801960908
2001-09-04,1641744.2310132673
2001-09-05,1632480.945328411
2001-09-06,1603510.7133535652
2001-09-07,1543158.9114673068
2001-09-10,1524840.312149024
2001-09-17,1439106.520341822
2001-09-18,1450140.2805249274
2001-09-19,1464137.9174712177
2001-09-20,1426599.0039377594
2001-09-21,1411721.2708097913
2001-09-24,1489471.87767882
2001-09-25,1509823.8586478557
2001-09-26,1492351.7194718549
2001-09-27,1517082.834244461
2001-09-28,1553722.1098767435
2001-10-01,1548741.894108105
2001-10-02,1569557.7162123814
2001-10-03,1608053.3312402572
2001-10-04,1593117.700732341
2001-10-05,1586981.6498532544
2001-10-08,1582252.3095931457
2001-10-09,1571281.8753246628
2001-10-10,1607984.8844365813
2001-10-11,1632262.6132183124
2001-10-12,1615154.2031070685
2001-10-15,1624711.524386037
2001-10-16,1636224.2239713147
2001-10-17,1622251.9256081684
2001-10-18,1629531.4227532216
2001-10-19,1656402.7653080772
2001-10-22,1669216.3906841627
2001-10-23,1665520.562231794
2001-10-24,1659114.872911109
2001-10-25,1669142.7828407679
2001-10-26,1681409.5779804955
2001-10-29,1647137.3266450907
2001-10-30,1603190.1191442253
2001-10-31,1625949.3683445817
2001-11-01,1644055.1414311915
2001-11-02,1664710.4574524905
2001-11-05,1696265.118074038
2001-11-06,1712748.39733654
2001-11-07,1707550.824544365
2001-11-08,1700060.6698899704
2001-11-09,1695634.1557821124
2001-11-12,1702835.0176753928
2001-11-13,1739672.119760077
2001-11-14,1765977.5134267954
2001-11-15,1779113.6636009982
2001-11-16,1747972.9859063104
2001-11-19,1779971.8154214295
2001-11-20,1774269.4612525802
2001-11-21,1770886.8759351736
2001-11-23,1789038.1306553264
2001-11-26,1798086.2733878393
2001-11-27,1796730.4133416468
2001-11-28,1783686.2230524363
2001-11-29,1784318.914743003
2001-11-30,1803809.8309696885
2001-12-03,1785624.79491837
2001-12-04,1808585.5999012664
2001-12-05,1875746.5306852772
2001-12-06,1867082.3290643205
2001-12-07,1856406.4858356302
2001-12-10,1831554.975236252
2001-12-11,1820289.9682756474
2001-12-12,1814785.7256800837
2001-12-13,1805111.6069855765
2001-12-14,1821076.9349443933
2001-12-17,1836636.9576993098
2001-12-18,1846873.1131998862
2001-12-19,1871225.3365449437
2001-12-20,1871147.830188948
2001-12-21,1894144.2967349284
2001-12-24,1901307.9684619117
2001-12-26,1904202.5121659061
2001-12-27,1915023.6636933438
2001-12-28,1917543.2921073933
2001-12-31,1903692.9949423708
2002-01-02,1888318.1552010244
2002-01-03,1855617.0323868215
2002-01-04,1871599.4992118368
2002-01-07,1847160.529889257
2002-01-08,1836961.5281964098
2002-01-09,1825672.342999795
2002-01-10,1832467.9435566454
2002-01-11,1815143.8019678493
2002-01-14,1811525.6859101306
2002-01-15,1827171.1654180354
2002-01-16,1816537.6362383151
2002-01-17,1835051.4834806118
2002-01-18,1834068.567781866
2002-01-22,1856794.4449338475
2002-01-23,1876044.9832567836
2002-01-24,1882352.1044475338
2002-01-25,1906147.0066784108
2002-01-28,1921018.880498623
2002-01-29,1894381.8389178212
2002-01-30,1929004.0754244225
2002-01-31,1957160.272272932
