Date,equity
2000-01-07,1000258.7301587298
2000-01-10,1030276.6175169713
2000-01-11,968696.379249289
2000-01-12,870776.1788925693
2000-01-13,804676.2407332914
2000-01-14,843828.3366608776
2000-01-18,772420.8010914837
2000-01-19,707227.4590100661
2000-01-20,791148.3586038993
2000-01-21,815878.8444750682
2000-01-24,747149.918666229
2000-01-25,729177.9230561333
2000-01-26,813763.4515453532
2000-01-27,788412.0989254484
2000-01-28,802967.7981798435
2000-01-31,765402.4663055014
2000-02-01,734010.4480785017
2000-02-02,716792.5176323553
2000-02-03,1107574.9620343328
2000-02-04,1052750.7636348852
2000-02-07,1074090.5719335284
2000-02-08,1090161.7184609722
2000-02-09,1083520.15833887
2000-02-10,1056022.6570064658
2000-02-11,1051103.7982442067
2000-02-14,1052079.8372333718
2000-02-15,995053.010987587
2000-02-16,920497.5779937733
2000-02-17,853820.2607139909
2000-02-18,895666.0414039831
2000-02-22,906208.6226641263
2000-02-23,926010.6551374726
2000-02-24,885629.8298060469
2000-02-25,988114.3360180218
2000-02-28,1132102.293197506
2000-02-29,1086729.2325685604
2000-03-01,1022973.4800636093
2000-03-02,1202101.0878257502
2000-03-03,1159753.0711451182
2000-03-06,1211421.1097169314
2000-03-07,1174417.05261194
2000-03-08,1201156.8391890486
2000-03-09,1209405.7583464931
2000-03-10,1158807.6790295932
2000-03-13,1189508.3786381362
2000-03-14,1284254.7012257488
2000-03-15,1346317.5823428584
2000-03-16,1736482.835898571
2000-03-17,1552389.1281661687
2000-03-20,1487890.6312096443
2000-03-21,1668369.169548289
2000-03-22,1597324.28202602
2000-03-23,1580515.4229786333
2000-03-24,1604403.8457094624
2000-03-27,1683909.7874544272
2000-03-28,1707120.5102448203
2000-03-29,1863681.9537383453
2000-03-30,1823462.7398786284
2000-03-31,1938870.6814758203
2000-04-03,1900011.270871834
2000-04-04,1854474.9490463485
2000-04-05,1853074.8395455133
2000-04-06,1895884.978000806
2000-04-07,1936520.6035065514
2000-04-10,2001594.0526552752
2000-04-11,2058678.0962419508
2000-04-12,2029851.674873249
2000-04-13,2026636.7395988428
2000-04-14,1830020.0736337653
2000-04-17,1771552.5844595723
2000-04-18,1773397.2928847896
2000-04-19,1905176.6847049715
2000-04-20,1693538.4452974992
2000-04-24,1689063.689143028
2000-04-25,1739968.1995899477
2000-04-26,1663847.9245896013
2000-04-27,1512328.1005556162
2000-04-28,1638942.4953095955
2000-05-01,1784015.3034183315
2000-05-02,1691803.8883716683
2000-05-03,1421256.3818709713
2000-05-04,1591862.8536253392
2000-05-05,1699215.0323374865
2000-05-08,1728915.7583078523
2000-05-09,1898533.3054951539
2000-05-10,1843075.9523585243
2000-05-11,1866593.5887479729
2000-05-12,1908909.8377970068
2000-05-15,2086249.3352798512
2000-05-16,1997258.5813470017
2000-05-17,1790767.8373862698
2000-05-18,1816532.1800765486
2000-05-19,1857313.750107285
2000-05-22,1933468.9122268371
2000-05-23,1946344.3312433818
2000-05-24,1730233.333962558
2000-05-25,1806563.265646206
2000-05-26,1776098.2515625108
2000-05-30,1911421.7532701334
2000-05-31,1941084.5412169031
2000-06-01,1621216.0128920646
2000-06-02,1554837.2640248556
2000-06-05,1578546.7140682733
2000-06-06,1532129.7047496117
2000-06-07,1446488.3591300834
2000-06-08,1243581.668139644
2000-06-09,1238488.6594119598
2000-06-12,1148895.3297006583
2000-06-13,1085523.6361333504
2000-06-14,980204.0107174544
2000-06-15,1106307.2010616718
2000-06-16,1091786.3186497588
2000-06-19,990945.6294502906
2000-06-20,1010796.1811234349
2000-06-21,965391.6451606435
2000-06-22,1011586.0580217331
2000-06-23,1010302.0568139154
2000-06-26,1006288.0589195885
2000-06-27,1054006.2587749353
2000-06-28,1048276.7596433207
2000-06-29,993857.1388982723
2000-06-30,943302.2646916573
2000-07-03,1008764.7785072132
2000-07-05,1022604.7533089737
2000-07-06,897606.3289497371
2000-07-07,869254.0705942481
2000-07-10,905885.5759681207
2000-07-11,916444.5475507883
2000-07-12,1009462.3819548341
2000-07-13,988236.1225089871
2000-07-14,1062922.1635948003
2000-07-17,1026028.3704173578
2000-07-18,997907.7473901948
2000-07-19,923564.5351480005
2000-07-20,863114.372236034
2000-07-21,912287.3147641916
2000-07-24,986829.7909572775
2000-07-25,910372.2231379942
2000-07-26,926375.7179232757
2000-07-27,916216.0101583957
2000-07-28,900349.7563026317
2000-07-31,906555.2899876116
2000-08-01,913153.3898070287
2000-08-02,907320.6793566806
2000-08-03,875123.1320542134
