Date,equity
2000-01-07,1000258.7301587302
2000-01-10,1003907.4321781498
2000-01-11,998887.1601326448
2000-01-12,989610.3329810464
2000-01-13,990893.2902612687
2000-01-14,990120.4067231053
2000-01-18,980950.0128469996
2000-01-19,974862.8895844577
2000-01-20,968766.6088267348
2000-01-21,959373.160195343
2000-01-24,948489.5984429824
2000-01-25,944445.874066589
2000-01-26,955933.1525649634
2000-01-27,946897.6459862449
2000-01-28,939295.3396086842
2000-01-31,937058.2300313964
2000-02-01,934190.1839850144
2000-02-02,933287.2552059728
2000-02-03,965849.0736382753
2000-02-04,959399.6554081412
2000-02-07,951043.2109658892
2000-02-08,946872.8768772465
2000-02-09,934908.8019201325
2000-02-10,929659.5585783027
2000-02-11,923345.1706565898
2000-02-14,924120.5314479944
2000-02-15,915551.1416333448
2000-02-16,907553.0036566897
2000-02-17,898984.8982544261
2000-02-18,902058.4850244721
2000-02-22,903133.4517693704
2000-02-23,903774.4883337826
2000-02-24,900667.1641124466
2000-02-25,906905.36361716
2000-02-28,923550.42165456
2000-02-29,921778.8598827609
2000-03-01,910420.4090900826
2000-03-02,919662.0151027404
2000-03-03,919734.3089884686
2000-03-06,910823.2567228902
2000-03-07,875306.7887789316
2000-03-08,890297.3826631437
2000-03-09,916018.673569495
2000-03-10,883706.0576031349
2000-03-13,896617.9773493569
2000-03-14,910821.5853456657
2000-03-15,985761.8980888362
2000-03-16,1099587.6330750687
2000-03-17,1069419.8661988743
2000-03-20,1053135.5925481387
2000-03-21,1084038.7020572056
2000-03-22,1075694.1105830604
2000-03-23,1075975.4121579342
2000-03-24,1089741.878326328
2000-03-27,1096252.619474357
2000-03-28,1093740.8626055673
2000-03-29,1120987.229686108
2000-03-30,1145461.0439275552
2000-03-31,1151883.3827230812
2000-04-03,1177670.7568049817
2000-04-04,1179525.6088887008
2000-04-05,1178248.4347358414
2000-04-06,1174234.195450161
2000-04-07,1172242.2678150625
2000-04-10,1183690.6607677047
2000-04-11,1193184.2522247196
2000-04-12,1206111.13052334
2000-04-13,1202534.3190473404
2000-04-14,1147628.7002014334
2000-04-17,1139790.4118035932
2000-04-18,1148819.0346310262
2000-04-19,1169906.9600288305
2000-04-20,1159764.277299303
2000-04-24,1172937.8319856995
2000-04-25,1198124.4029402318
2000-04-26,1191530.6804822893
2000-04-27,1168962.1495648157
2000-04-28,1173591.1110817185
2000-05-01,1213123.070715515
2000-05-02,1204453.9587174898
2000-05-03,1138294.4807285138
2000-05-04,1168075.3467862515
2000-05-05,1194355.0464991503
2000-05-08,1207091.8290195547
2000-05-09,1226069.9890104826
2000-05-10,1218534.2451684854
2000-05-11,1223958.7547813505
2000-05-12,1208623.842299343
2000-05-15,1268668.6831686439
2000-05-16,1275821.3395291998
2000-05-17,1229395.1968609313
2000-05-18,1235336.036409218
2000-05-19,1230171.5842755542
2000-05-22,1234565.2988892635
2000-05-23,1236559.5841310315
2000-05-24,1228567.4701621155
2000-05-25,1220304.6039504095
2000-05-26,1210229.3812282262
2000-05-30,1250153.2994397508
2000-05-31,1253549.4500296873
2000-06-01,1248387.7371661477
2000-06-02,1266927.0162929245
2000-06-05,1251430.2267294007
2000-06-06,1200280.6869827742
2000-06-07,1199461.1754031503
2000-06-08,1184627.494610348
2000-06-09,1173756.2157922706
2000-06-12,1141597.5434543765
2000-06-13,1145003.7662161624
2000-06-14,1157517.4419752813
2000-06-15,1179425.9241850432
2000-06-16,1153215.7432489267
2000-06-19,1141063.3419657804
2000-06-20,1097199.9708668084
2000-06-21,1074641.6528807285
2000-06-22,1072550.947870052
2000-06-23,1059791.0945734866
2000-06-26,1073176.5166739647
2000-06-27,1107197.5951355188
2000-06-28,1117871.2831833884
2000-06-29,1097031.1456885533
2000-06-30,1098424.511793599
2000-07-03,1123431.0146853877
2000-07-05,1119224.4680381618
2000-07-06,1125745.4497402534
2000-07-07,1137660.3141264184
2000-07-10,1151201.8051639537
2000-07-11,1161961.4277138575
2000-07-12,1164169.2430593786
2000-07-13,1139081.5153533374
2000-07-14,1151242.1238387208
2000-07-17,1147351.9031303527
2000-07-18,1141922.2662581136
2000-07-19,1126654.5310806977
2000-07-20,1129726.8128580158
2000-07-21,1119053.4914205268
2000-07-24,1126557.5484100601
2000-07-25,1130955.3237607547
2000-07-26,1140112.9816128588
2000-07-27,1134483.4320791923
2000-07-28,1109620.5613150327
2000-07-31,1102559.8533453397
2000-08-01,1106745.386614811
2000-08-02,1111509.0430353035
2000-08-03,1108664.192401064
2000-08-04,1119509.0570763813
2000-08-07,1131746.1544942237
2000-08-08,1139715.3907559663
2000-08-09,1135233.6295310287
2000-08-10,1134965.9166881654
2000-08-11,1147557.8632266652
2000-08-14,1164239.5098401227
2000-08-15,1129555.8938177384
2000-08-16,1119466.0033205948
2000-08-17,1123642.6454721002
2000-08-18,1125775.309580579
2000-08-21,1123670.722281173
2000-08-22,1109339.4642003896
2000-08-23,1108800.2756223057
2000-08-24,1111510.1408581887
2000-08-25,1116904.483925657
2000-08-28,1103173.3852125288
2000-08-29,1111938.485112766
2000-08-30,1109942.9841919478
2000-08-31,1087239.1042433684
2000-09-01,1115389.6092535118
2000-09-05,1128144.8571510394
2000-09-06,1126623.936849025
2000-09-07,1114605.2873447486
2000-09-08,1121825.6167730556
2000-09-11,1118458.318776319
2000-09-12,1152655.4319532886
2000-09-13,1145214.1938486563
2000-09-14,1138996.28759441
2000-09-15,1125153.1069900922
2000-09-18,1111642.6369308524
2000-09-19,1118879.956431227
2000-09-20,1108105.1418696141
2000-09-21,1132109.2150351417
2000-09-22,1146363.4384935477
2000-09-25,1150682.572757343
2000-09-26,1145521.9829930302
2000-09-27,1149100.152600137
2000-09-28,1167248.9934670376
2000-09-29,1173346.6284116423
2000-10-02,1162013.6769236138
2000-10-03,1175568.8092746164
2000-10-04,1189420.2720575405
2000-10-05,1201368.5124955894
2000-10-06,1181575.7630175054
2000-10-09,1188497.2346081862
2000-10-10,1187472.6593365322
2000-10-11,1178813.013936391
2000-10-12,1161152.2277299957
2000-10-13,1192264.6103696742
2000-10-16,1209424.1622012116
2000-10-17,1183562.2204044505
2000-10-18,1221140.6834667728
2000-10-19,1234328.68377445
2000-10-20,1194227.5655471215
2000-10-23,1199035.9719671246
2000-10-24,1217599.5576912037
2000-10-25,1231547.470825037
2000-10-26,1254890.2770174716
2000-10-27,1261382.847381336
2000-10-30,1327451.435009066
2000-10-31,1372781.2889038573
2000-11-01,1380817.184900021
2000-11-02,1398820.2352951933
2000-11-03,1390856.1051711387
2000-11-06,1418354.115742346
2000-11-07,1427518.3943514223
2000-11-08,1450079.1239912908
2000-11-09,1417037.2105222845
2000-11-10,1399025.4811820157
2000-11-13,1427369.3309865647
2000-11-14,1413879.1650200095
2000-11-15,1428341.2537497086
2000-11-16,1416831.41137959
2000-11-17,1424967.537937378
2000-11-20,1425107.4362950127
2000-11-21,1433664.5813164725
2000-11-22,1442191.1981438291
2000-11-24,1442227.5169970284
2000-11-27,1488131.3665613262
2000-11-28,1462470.7240946735
2000-11-29,1466320.3441999576
2000-11-30,1473915.1650482265
2000-12-01,1480271.0003205393
2000-12-04,1523888.6908160348
2000-12-05,1545646.8716199743
2000-12-06,1522813.2273083024
2000-12-07,1532597.625331913
2000-12-08,1554785.861374945
2000-12-11,1534111.4186670242
2000-12-12,1545921.4790678597
2000-12-13,1527152.1917134007
2000-12-14,1516922.9712529157
2000-12-15,1501410.6084714122
2000-12-18,1528177.7391823574
2000-12-19,1486451.5354040724
2000-12-20,1481018.7911251553
2000-12-21,1530668.1265909022
2000-12-22,1564547.9164508116
2000-12-26,1592003.90463068
2000-12-27,1660408.479381841
2000-12-28,1670038.8382410759
2000-12-29,1675221.7540423097
2001-01-02,1634468.9328859632
2001-01-03,1684415.038564382
2001-01-04,1644469.3316005906
2001-01-05,1644525.7138575308
2001-01-08,1682088.630619352
2001-01-09,1686963.207811033
2001-01-10,1707689.2233291653
2001-01-11,1703543.1233165504
2001-01-12,1704025.96818816
2001-01-16,1744814.3723328423
2001-01-17,1747298.174225991
2001-01-18,1737308.434924232
2001-01-19,1673410.8759182268
2001-01-22,1704424.5292023225
2001-01-23,1729956.0785983792
2001-01-24,1724063.9822547869
2001-01-25,1764340.657029968
2001-01-26,1768746.5121989108
2001-01-29,1792763.709650581
2001-01-30,1789842.5592484542
2001-01-31,1827059.1160947583
2001-02-01,1833321.0739354594
2001-02-02,1786335.328389566
2001-02-05,1798814.2793676455
2001-02-06,1797917.9991930698
2001-02-07,1815194.4526515403
2001-02-08,1776775.4317376008
2001-02-09,1735774.3718226047
2001-02-12,1770625.5775651617
2001-02-13,1785107.7445276394
2001-02-14,1789935.0330164414
2001-02-15,1787375.3412347054
2001-02-16,1788050.875836791
2001-02-20,1816835.9978881797
2001-02-21,1760446.9409460211
2001-02-22,1758492.3921165718
2001-02-23,1765081.3144639176
2001-02-26,1830637.960034689
2001-02-27,1782643.0314430175
2001-02-28,1774691.835143109
2001-03-01,1740115.2181768718
2001-03-02,1748286.8235142464
2001-03-05,1757729.0641425243
2001-03-06,1775977.3349602746
2001-03-07,1799672.7615166144
2001-03-08,1831228.3043453863
2001-03-09,1809213.8148639475
2001-03-12,1773479.5926816904
2001-03-13,1739620.5441038047
2001-03-14,1709520.6364464657
2001-03-15,1700764.4051336662
2001-03-16,1676275.1718739143
2001-03-19,1709923.6633583382
2001-03-20,1709714.4186741798
2001-03-21,1700937.1050519089
2001-03-22,1657631.7758866972
2001-03-23,1667464.8530523332
2001-03-26,1684731.3660968803
2001-03-27,1709257.2038069337
2001-03-28,1686651.8279196671
2001-03-29,1694585.4887473383
2001-03-30,1725561.933828696
2001-04-02,1744201.5890798569
2001-04-03,1707611.53307916
2001-04-04,1725150.3950207983
2001-04-05,1754854.4738550514
2001-04-06,1733942.5520019706
2001-04-09,1745417.380837118
2001-04-10,1753695.1959975006
2001-04-11,1715409.9195917344
2001-04-12,1721620.7459210637
2001-04-16,1728280.2584789193
2001-04-17,1748795.708751395
2001-04-18,1834114.5717207333
2001-04-19,1855681.9799128186
2001-04-20,1837242.910666435
2001-04-23,1826257.5726952502
2001-04-24,1807127.5858296198
2001-04-25,1847753.7817999243
2001-04-26,1893740.3118035826
2001-04-27,1929502.4641753386
2001-04-30,1918285.2401599516
2001-05-01,1948008.4013522984
2001-05-02,1925361.9183337798
2001-05-03,1899547.0548757534
2001-05-04,1914549.8014421521
2001-05-07,1909595.503666296
2001-05-08,1935085.4749266477
2001-05-09,1921188.2998376864
2001-05-10,1947417.8435572514
2001-05-11,1946338.9772310595
2001-05-14,1953569.6889321802
2001-05-15,1966333.609270335
2001-05-16,2001205.3829429615
2001-05-17,2031538.9503800047
2001-05-18,2026433.069208434
2001-05-21,2066372.5932012617
2001-05-22,2055108.8426079822
2001-05-23,2021953.7411998068
2001-05-24,2040277.509894911
2001-05-25,2041069.327049566
2001-05-29,2026708.5171458097
2001-05-30,2032572.666873322
2001-05-31,2045653.4145929222
2001-06-01,2057399.2638608175
2001-06-04,2061457.9557489243
2001-06-05,2100053.621881203
2001-06-06,2080704.868365588
2001-06-07,2094922.1521469674
2001-06-08,2086641.1829075469
2001-06-11,2048988.31891673
2001-06-12,2065748.5813387267
