Date,SPY
2000-01-07,1000000.0
2000-01-14,998275.9289553753
2000-01-21,967241.4745728071
2000-01-28,987499.7291969063
2000-02-04,976292.9315270389
2000-02-11,953663.3654719926
2000-02-18,922844.8818047359
2000-02-25,955387.1846067628
2000-03-03,971551.4002745146
2000-03-10,1009266.923849834
2000-03-17,1055477.0996308513
2000-03-24,1028037.062993082
2000-03-31,1040460.2493806796
2000-04-07,997355.6182867072
2000-04-14,994330.6007831708
2000-04-21,1009455.184481144
2000-04-28,980502.8490164852
2000-05-05,976829.5834872082
2000-05-12,991306.1710692951
2000-05-19,953062.3925289583
2000-05-26,1004701.981405358
2000-06-02,1015721.3581434313
2000-06-09,1024364.2173135625
2000-06-16,1009233.5038091287
2000-06-23,999270.6370010905
2000-06-30,1010099.5698891145
2000-07-07,1038037.7162793048
2000-07-14,1043884.9638534549
2000-07-21,1007500.6998895459
2000-07-28,1009016.6094243509
2000-08-04,1016813.1354531045
2000-08-11,1040852.473024233
2000-08-18,1048649.7547825507
2000-08-25,1055796.941176194
2000-09-01,1045400.453538502
2000-09-08,1037063.1610219545
2000-09-15,991359.7438983654
2000-09-22,1007426.38648245
2000-09-29,1001781.3385515619
2000-10-06,924921.5426757965
2000-10-13,967910.7150864278
2000-10-20,949672.8614658702
2000-10-27,991467.8132259727
2000-11-03,972904.8279531266
2000-11-10,954449.4921581303
2000-11-17,918082.442034283
2000-11-24,919059.0965404211
2000-12-01,928612.3579249412
2000-12-08,933823.5331163214
2000-12-15,885943.9507291195
2000-12-22,931896.1708190647
2000-12-29,930698.4234305721
2001-01-05,921661.1573981474
2001-01-12,939301.0609939254
2001-01-19,948012.439644498
2001-01-26,961245.2643046591
2001-02-02,927723.7878979483
2001-02-09,929256.5753930088
2001-02-16,876779.8900698983
2001-02-23,868346.9557785685
2001-03-02,885909.355109093
2001-03-09,820120.9973413433
2001-03-16,776488.950981869
2001-03-23,806956.2723118657
2001-03-30,803951.4915666458
2001-04-06,830505.2253661131
2001-04-13,878022.3934425514
2001-04-20,864535.9795287976
2001-04-27,874947.8336676178
2001-05-04,880608.248099634
2001-05-11,902479.8174023022
2001-05-18,905833.9131458485
2001-05-25,880118.6193123163
2001-06-01,895771.9617950156
2001-06-08,852517.1084577726
2001-06-15,867695.8527744764
2001-06-22,855992.3728413634
2001-06-29,852699.3232525727
2001-07-06,849265.036205324
2001-07-13,855431.8734149622
2001-07-20,843378.6586337653
2001-07-27,859216.6510398587
2001-08-03,833077.4768910495
2001-08-10,831465.8416115111
2001-08-17,817099.6745156739
2001-08-24,794114.6636558401
2001-08-31,776244.682392895
2001-09-07,771199.599765623
2001-09-14,691731.8231505493
2001-09-21,719368.4754298044
2001-09-28,755734.4339442819
2001-10-05,773741.0343183513
2001-10-12,755593.7003055331
2001-10-19,777750.7674433719
2001-10-26,763260.324819284
2001-11-02,792029.6897595789
2001-11-09,807996.4920713053
