Date,defensive_1.0,defensive_1.5,defensive_2.0,defensive_2.5,defensive_3.0,defensive_3.5,defensive_4.0,defensive_4.5,defensive_5.0,growth_1.0,growth_1.5,growth_2.0,growth_2.5,growth_3.0,growth_3.5,growth_4.0,growth_4.5,growth_5.0,spy_1.0,spy_1.5,spy_2.0,spy_2.5,spy_3.0,spy_3.5,spy_4.0,spy_4.5,spy_5.0
2000-01-03,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2000-01-04,999962.3015873015,999856.746031746,999751.1904761904,999645.6349206349,999540.0793650794,999434.5238095238,999328.9682539682,999223.4126984128,999117.8571428572,999962.3015873015,999856.746031746,999751.1904761904,999645.6349206349,999540.0793650794,999434.5238095238,999328.9682539682,999223.4126984128,999117.8571428572,960856.5707135851,941198.1497211712,921539.7287287575,901881.3077363438,882222.8867439299,862564.465751516,842906.0447591023,823247.6237666886,803589.2027742747
2000-01-05,999924.6045957735,999713.5125851915,999502.44285856,999291.3954158793,999080.3702571492,998869.3673823696,998658.3867915405,998447.4284846626,998236.4924617347,999924.6045957735,999713.5125851915,999502.44285856,999291.3954158793,999080.3702571492,998869.3673823696,998658.3867915405,998447.4284846626,998236.4924617347,962539.0821822471,943588.6746420288,924607.2531705125,905594.8177676983,886551.368433586,867476.9051681757,848371.4279714673,829234.936843461,810067.4317841564
2000-01-06,999886.9090253621,999570.2996573965,999253.7571317059,998937.2814412339,998620.8725789238,998304.5305377188,997988.2553105626,997672.046890399,997355.9052701703,999886.9090253621,999570.2996573965,999253.7571317059,998937.2814412339,998620.8725789238,998304.5305377188,997988.2553105626,997672.046890399,997355.9052701703,947033.5980082192,920706.5397145321,894658.0292872885,868888.8241961336,843399.6819107118,818191.3599006679,793264.6156356465,768620.2065852928,744258.8902192509
2000-01-07,999849.2148760139,999427.1072454217,999005.133280229,998583.2929522153,998161.5862331623,997740.0130948552,997318.5735090823,996897.2674476353,996476.094882307,999849.2148760139,999427.1072454217,999005.133280229,998583.2929522153,998161.5862331623,997740.0130948552,997318.5735090823,996897.2674476353,996476.094882307,1001997.6515417737,1000780.8292955628,998351.4317718844,994734.5032865198,989955.175816774,984038.6690014778,977010.2901409856,968895.4341971785,959719.5837934604
2000-01-10,998766.273150012,997716.7237610063,996667.8381103997,995619.6159181262,994572.0569041924,993525.16078868,992478.9272917442,991433.3561336148,990388.447034593,1001808.6378444528,1002278.344204136,1002747.4307166383,1003215.8977117587,1003683.7455191981,1004150.9744685604,1004617.5848893513,1005083.5771109795,1005548.9514627533,1005397.6324117803,1005787.8331621975,1004953.5219725542,1002914.0927390632,999689.1891562798,995298.7054227326,989762.7869465504,983101.8310510946,975336.4876805851
2000-01-11,997771.9789101512,996140.3413015126,994510.5928498026,992882.7321119246,991256.7576455084,989632.6680089138,988010.4617612282,986390.1374622674,984771.693672572,998776.673409042,997641.3613120748,996503.930212405,995364.3834124273,994222.724212328,993078.955910088,991933.0818014815,990785.1051800787,989635.0293372421,993329.045909538,987590.7193833514,980652.7392868804,972556.2791740502,963342.280987925,953051.4481317729,941724.2385143472,929400.8575693965,916121.2512493894
2000-01-12,995979.8054293438,993370.1054490054,990765.5011654882,988165.9855612597,985571.551625194,982982.1923525721,980397.9007450764,977818.6698107866,975244.4925641738,994515.6016196134,991170.5171451031,987828.3725650687,984489.185257439,981152.9725686407,977819.7518136248,974489.5402758901,971162.3552075111,967838.2138291581,983410.0793453058,972712.5899283253,960897.9090661628,948024.4526558149,934149.5754383911,919329.5701976797,903619.6671451442,887074.0334922818,869745.773211246
2000-01-13,997837.1066955681,996062.6260076717,994288.8451293347,992515.7699403152,990743.4063030733,988971.7600627972,987200.8370474256,985430.6430676712,983661.1839170413,998846.0934230804,997558.4654554485,996259.8168101477,994950.1834871345,993629.6015997755,992298.1073745446,990955.7371507182,989602.5273800752,988238.5146265894,996691.0109337138,992332.9429129277,986685.0876103,979785.4771250319,971672.597326515,962385.3516481915,951963.0250457623,940445.2481294366,927871.9614799222
2000-01-14,996316.9559119645,993700.0898662026,991086.9324190968,988477.4876452655,985871.7595821596,983269.7522301623,980671.4695526842,978076.9154762608,975486.0938906444,997442.6193506537,995369.4735543914,993287.3724929952,991196.3781249428,989096.5524079514,986987.9572982311,984870.6547497332,982744.7067134087,980610.175136458,1010185.9515594413,1012400.8016001789,1013232.9098678919,1012695.7263458892,1010804.189761324,1007574.7048420811,1003025.118294995,997174.6935233729,990044.0841023044
