Date,1990_base,1990_cc_h0,1990_cc_h5,1990_cc_all_h5,1995_base,1995_cc_h0,1995_cc_h5,1995_cc_all_h5,2000_base,2000_cc_h0,2000_cc_h5,2000_cc_all_h5,2005_base,2005_cc_h0,2005_cc_h5,2005_cc_all_h5,2010_base,2010_cc_h0,2010_cc_h5,2010_cc_all_h5,2015_base,2015_cc_h0,2015_cc_h5,2015_cc_all_h5,2020_base,2020_cc_h0,2020_cc_h5,2020_cc_all_h5
1990-01-05,999999.9999999992,1000000.0,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-12,984177.0135602624,984177.0135602623,983835.8017004902,983575.3706273168,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-19,980960.0076860934,982690.3369944813,982373.7754160406,983536.5205834374,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-26,974456.6063696598,977418.9113361526,977107.5392794958,978822.6870337193,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-02,979484.167969713,983089.1754065782,982776.5059838913,985205.6535729193,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-09,979351.6199675464,984276.3903819398,983974.1000220418,986328.6891825175,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-16,982075.396452818,987526.8881589838,986940.1233779433,989676.0427627257,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-23,979207.06196728,984725.6282751962,984143.9218183401,987061.7140297353,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-02,986780.0276304416,992663.3452627197,992106.9303893151,993653.4374513926,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-09,999618.151312826,1003986.7183552466,1003331.645835842,1003780.5203741244,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-16,1011580.2302949592,1014470.4443958146,1013364.5548351125,1013014.2362676817,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-23,1005072.2701757356,1008510.8002164891,1007239.6466377095,1007324.8589045536,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-30,1007591.6429667388,1011179.5910423147,1009935.8302916291,1012064.6230117773,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-06,1024376.5546927728,1023590.6099064138,1022310.9713906568,1022820.6262738152,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-13,1033967.944319356,1032826.1182812742,1030744.9286084828,1030741.8869457437,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-20,1011394.111773857,1015345.2989555476,1013175.8701199427,1016798.4351681662,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-27,1013939.609872434,1019185.5816842333,1016878.3879061993,1022478.7732915997,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-04,1033200.465328028,1038837.3762102383,1036551.4467625045,1041912.0021104057,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-11,1056262.983742421,1058210.7535353668,1055251.9554062337,1056895.8578643186,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-18,1074355.9715685388,1075705.4721774594,1072159.95119004,1070256.1930863475,,,,,,,,,,,,,,,,,,,,,,,,
