Date,1990_dow_pmcc_cc_nat,1990_dow_pmcc_cc_nat_conv,1990_claude_pmcc_cc_nat,1990_claude_pmcc_cc_nat_conv,2000_dow_pmcc_cc_nat,2000_dow_pmcc_cc_nat_conv,2000_claude_pmcc_cc_nat,2000_claude_pmcc_cc_nat_conv,2015_dow_pmcc_cc_nat,2015_dow_pmcc_cc_nat_conv,2015_claude_pmcc_cc_nat,2015_claude_pmcc_cc_nat_conv
1990-01-05,100031.70634920642,100031.70634920642,100031.70634920638,100031.70634920638,,,,,,,,
1990-01-08,98757.71310156552,98757.71310156552,99149.87014528489,99149.87014528489,,,,,,,,
1990-01-09,95669.21549098153,95669.21549098153,96283.17052575223,96283.17052575223,,,,,,,,
1990-01-10,94219.37393748507,94219.37393748507,94886.81346696493,94886.81346696493,,,,,,,,
1990-01-11,95197.91037020452,95197.91037020452,95978.11986433605,95978.11986433605,,,,,,,,
1990-01-12,93781.05570453526,93781.05570453526,94211.6297671891,94211.6297671891,,,,,,,,
1990-01-15,94459.52425566177,94459.52425566177,95074.90640645564,95074.90640645564,,,,,,,,
1990-01-16,89542.3841790754,89542.3841790754,90161.4723462918,90161.4723462918,,,,,,,,
1990-01-17,85433.99829655551,85433.99829655551,86028.25173891286,86028.25173891286,,,,,,,,
1990-01-18,86222.65467513786,86222.65467513786,86882.4759011163,86882.4759011163,,,,,,,,
1990-01-19,83163.24027009268,83163.24027009268,83594.06609544491,83594.06609544491,,,,,,,,
1990-01-22,80229.23330700204,80229.23330700204,80426.4417425414,80426.4417425414,,,,,,,,
1990-01-23,79535.81836633969,79535.81836633969,79553.7702879177,79553.7702879177,,,,,,,,
1990-01-24,78943.96955114433,78943.96955114433,79096.86491528722,79096.86491528722,,,,,,,,
1990-01-25,73232.1087858345,73232.1087858345,72967.42908150057,72967.42908150057,,,,,,,,
1990-01-26,73788.58486584216,73788.58486584216,73751.20659073364,73751.20659073364,,,,,,,,
1990-01-29,74922.43304590366,74922.43304590366,74854.3323453021,74854.3323453021,,,,,,,,
1990-01-30,72713.17981263871,72713.17981263871,72860.91769046147,72860.91769046147,,,,,,,,
1990-01-31,70473.17135892704,70473.17135892704,70738.2794918609,70738.2794918609,,,,,,,,
1990-02-01,71518.18217548245,71518.18217548245,71586.02567806504,71586.02567806504,,,,,,,,
1990-02-02,72143.49818058671,72143.49818058671,72171.33988667485,72171.33988667485,,,,,,,,
1990-02-05,72682.79397990914,72682.79397990914,73158.39628265337,73158.39628265337,,,,,,,,
1990-02-06,66282.97551955577,66282.97551955577,66450.63460407646,66450.63460407646,,,,,,,,
