Date,1990_dow_ds1,1990_dow_hammer,1990_claude_ds1,1990_claude_hammer,2000_dow_ds1,2000_dow_hammer,2000_claude_ds1,2000_claude_hammer,2015_dow_ds1,2015_dow_hammer,2015_claude_ds1,2015_claude_hammer
1990-01-05,100031.70634920635,100031.70634920635,100031.70634920635,100031.70634920635,,,,,,,,
1990-01-08,99817.46657982895,99905.01110015165,99876.18509742801,99947.19991427736,,,,,,,,
1990-01-09,99387.73807387355,100098.98279804923,99493.39582036459,100178.77698903256,,,,,,,,
1990-01-10,99180.84870732223,99981.87869298276,99295.55266699055,100068.90853442003,,,,,,,,
1990-01-11,99339.15159292462,99457.08276185366,99473.61422733485,99568.92521613871,,,,,,,,
1990-01-12,99145.96109810338,100372.31843184229,99233.21335719843,100437.5029916236,,,,,,,,
1990-01-15,99306.94337818648,100848.8510225183,99422.72780270899,100944.13629413926,,,,,,,,
1990-01-16,98617.71440369211,99642.38226331564,98738.22597758002,99745.82948492275,,,,,,,,
1990-01-17,98006.53953412644,99069.02230522073,98112.55742360307,99154.88042283757,,,,,,,,
1990-01-18,98195.47130329015,99259.11684634864,98298.06388091137,99339.99190385448,,,,,,,,
1990-01-19,97742.55356829596,98447.09527659719,97810.25399823835,98485.15571405108,,,,,,,,
1990-01-22,97334.60758247369,98789.05153132857,97368.05188203696,98784.00706944117,,,,,,,,
1990-01-23,97219.55203792857,98366.15040606486,97228.10853980701,98346.79924024356,,,,,,,,
1990-01-24,97174.96025745,98603.0103830505,97200.15671389965,98589.91946583439,,,,,,,,
1990-01-25,96241.75618541695,98261.04237571853,96220.96335122854,98222.28155937041,,,,,,,,
1990-01-26,96387.65265284636,98470.5413248971,96407.30599792593,98459.24381010911,,,,,,,,
1990-01-29,96608.67254338888,98710.75502711884,96625.97830198474,98712.16997379156,,,,,,,,
1990-01-30,96239.20835845507,98665.28258793624,96303.91075312173,98699.59376966131,,,,,,,,
1990-01-31,95859.09939788468,98057.13100576529,95948.69991530135,98119.58660365753,,,,,,,,
1990-02-01,95977.70222834488,96602.62390951581,96035.01126458314,96639.34645386545,,,,,,,,
1990-02-02,96181.114763025,97843.0611410368,96207.1150625287,97853.3649498323,,,,,,,,
1990-02-05,96382.72795985981,99491.47549867725,96456.20349712376,99538.06306833398,,,,,,,,
1990-02-06,95363.63443627395,99458.67680605386,95387.75425347671,99482.9420195381,,,,,,,,
1990-02-07,96353.52372847669,99289.43743117612,96332.40271623479,99291.16236576923,,,,,,,,
1990-02-08,95611.72439298785,99354.87806653693,95636.38819836397,99376.51276446931,,,,,,,,
1990-02-09,95395.84544173705,99684.34873456851,95413.8404323809,99702.784433487,,,,,,,,
1990-02-12,95219.32423403641,99981.14305453745,95186.93279858772,99976.331008953,,,,,,,,
1990-02-13,95153.19301924462,99855.77362751799,95148.85715018609,99897.41032939446,,,,,,,,
1990-02-14,94906.12144918142,98872.80700937056,94893.25795475123,98899.83158064031,,,,,,,,
1990-02-15,94640.09441646207,98565.69843654035,94615.30320097483,98587.2021023996,,,,,,,,
1990-02-16,94925.37229599111,99379.67211004366,94907.52548865839,99415.13337202126,,,,,,,,
1990-02-20,94992.0643558781,100193.69456073642,94951.09819885036,100173.30784166684,,,,,,,,
1990-02-21,95055.34255505314,100593.87915762764,94983.01441478354,100556.98886890088,,,,,,,,
1990-02-22,94675.53694908337,100044.02809330373,94571.85048778752,100008.23338263501,,,,,,,,
1990-02-23,94974.57777402725,100132.70395299597,94888.56142973143,100086.24317901394,,,,,,,,
1990-02-26,95549.8944428879,100869.73493287186,95439.62505971397,100805.95455548575,,,,,,,,
1990-02-27,95317.8883579752,101210.51581343496,95189.62803716262,101142.8220791779,,,,,,,,
1990-02-28,95768.35523637269,102121.02550266634,95647.85291723566,102070.36826564338,,,,,,,,
1990-03-01,95808.38509498166,102206.94633470975,95697.68635391245,102171.89250561057,,,,,,,,
1990-03-02,95960.21636360964,100968.82732122215,95843.11947149679,100926.0740926597,,,,,,,,
1990-03-05,95493.78419981159,102379.74962547368,95222.12159270835,102307.75177005643,,,,,,,,
1990-03-06,95276.31603001867,103436.6745959632,94960.97949764736,103317.2576610888,,,,,,,,
1990-03-07,95403.11755834387,103864.74385034898,94994.65871844848,103695.97080536009,,,,,,,,
1990-03-08,95697.89164987385,104964.68629332568,95277.01357882678,104824.31670921952,,,,,,,,
1990-03-09,95842.14358477962,105020.70364525737,95475.84155103358,104887.17517782938,,,,,,,,
1990-03-12,95975.35086179103,105729.0125757702,95520.93308051475,105576.61841613878,,,,,,,,
1990-03-13,95953.12239574656,105849.44132183147,95475.47453799857,105711.44335209182,,,,,,,,
1990-03-14,96106.31973207508,105731.21207553006,95642.46746535048,105588.67870252489,,,,,,,,
1990-03-15,95864.57469990641,105628.11518128145,95378.58124531007,105486.61280475806,,,,,,,,
1990-03-16,96211.80035199436,105791.07649302087,95767.61178806899,105625.52581212319,,,,,,,,
1990-03-19,96263.34803834681,107347.36377016231,95781.07760130079,107142.27865825058,,,,,,,,
1990-03-20,96214.03204435787,107490.73391448164,95767.8968571813,107335.03860433646,,,,,,,,
1990-03-21,96200.11795746941,106113.27091031129,95752.07615937079,105946.05974451132,,,,,,,,
1990-03-22,96150.2068110183,106682.64648389076,95770.22550001362,106549.54781438467,,,,,,,,
1990-03-23,96298.07814862962,106633.08844624906,95797.60982113799,106424.9619980232,,,,,,,,
1990-03-26,96433.59407332788,108473.13000565667,95911.46181334896,108254.27433066032,,,,,,,,
1990-03-27,96798.61891468114,111398.16194006444,96303.96696552829,111197.7190384583,,,,,,,,
1990-03-28,96775.09919175741,111589.76294046802,96270.68094466238,111379.9349496663,,,,,,,,
1990-03-29,96626.14672472353,110764.98723119887,96080.35418967044,110528.09380655101,,,,,,,,
1990-03-30,96609.22920079784,110982.66746265825,96036.6040245473,110723.54366394124,,,,,,,,
1990-04-02,97018.34443899793,112070.58961558565,96470.14776240538,111786.50708424213,,,,,,,,
1990-04-03,97183.76481042181,113333.48567379286,96565.61421226762,113027.91565239352,,,,,,,,
1990-04-04,97361.04968250323,114094.82739488156,96753.63512604075,113767.35583051208,,,,,,,,
1990-04-05,97535.68616408517,113285.80834498504,96882.43308835232,112932.59154977174,,,,,,,,
1990-04-06,97665.80004624544,112178.71605932142,97003.91338625185,111805.07733757746,,,,,,,,
1990-04-09,97958.18699973411,112110.31604933248,97305.68746024658,111731.58158233996,,,,,,,,
1990-04-10,98188.12138297468,113501.25333826362,97572.07799975057,113134.5129332554,,,,,,,,
1990-04-11,98110.529671384,112171.61772530702,97444.19746567935,111796.94949985555,,,,,,,,
1990-04-12,98505.79974562221,113485.1238298964,97919.43043608939,113130.26117655453,,,,,,,,
1990-04-16,99031.97885726474,115652.7393419488,98508.62904114467,115345.4598948174,,,,,,,,
1990-04-17,99055.61350900431,116800.60005446947,98561.19365607316,116521.57660420271,,,,,,,,
1990-04-18,99161.6574418948,116500.93369931707,98745.77268610083,116238.69297896298,,,,,,,,
1990-04-19,98813.94338813488,115143.72059637365,98418.99099375553,114892.99861198968,,,,,,,,
1990-04-20,99136.625916333,115290.03480978709,98826.53728232127,115085.55766059377,,,,,,,,
1990-04-23,98757.71293112246,114695.77834267567,98439.2020084484,114483.1294076485,,,,,,,,
1990-04-24,98836.01009155455,114358.60025546158,98462.11832258478,114127.0484206547,,,,,,,,
1990-04-25,99078.80177675218,116353.34938418376,98711.14758171536,116139.7519233376,,,,,,,,
1990-04-26,99274.00816834124,115938.90556690849,98890.6921925465,115738.92290738034,,,,,,,,
1990-04-27,99018.80209972637,115667.56692904167,98675.67387841514,115492.56732649579,,,,,,,,
1990-04-30,99357.12245559898,115722.37403734031,98903.05664070642,115487.10292088297,,,,,,,,
1990-05-01,99677.16585975664,116260.97856067562,99158.17438469689,115974.09716427201,,,,,,,,
1990-05-02,100016.34348982637,118214.12574198027,99440.71836369537,117885.15790127032,,,,,,,,
1990-05-03,100241.41038276452,118481.97010683689,99597.46273342238,118118.44440237734,,,,,,,,
1990-05-04,100492.70642303304,118647.93264553405,99794.61184808829,118252.85791671308,,,,,,,,
